"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","error","boostperm","bfs-prev","sat-like","10","bakery.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","pgm_protocol.2","dve2C","tg,bs,hf","0.020","","","","","","122","120","35421","35421","2.210","17096","40453","4156","14014","21003","2.26","2901936","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-like","10","bakery.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","lann.1","dve2C","tg,bs,hf","0.000","","","","","","15","27","2681","2681","0.150","18424","2461","178","426","693","0.17","2894948","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","lifts.1","dve2C","tg,bs,hf","0.000","","","","","","22","135","11217","11217","0.220","2661","3570","918","11234","15918","0.23","2893248","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-like","10","frogs.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","error","boostperm","chain","sat-like","10","plc.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","5460","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","10","lann.8","dve2C","tg,bs,hf","0.000","","","","","","25","50","","","","","","","","","","","","","","","","","","",
"statistics","done","","chain","sat-like","10","synapse.5","dve2C","tg,bs,hf","0.070","902","277569","295622","36.0086","37.3091","28","167","12483","12483","5.010","83263","20695","1154","14993","41330","5.26","2899676","1463020","7570625","204002","995","","","7879261",
"performance","done","","chain","sat-like","10","leader_filters.2","dve2C","tg,bs,hf","0.000","","","","","","21","30","2686","2686","0.280","29284","3114","688","1388","3112","0.29","2719876","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","at.2","dve2C","tg,bs,hf","0.000","","","","","","10","43","2064","2064","0.340","49443","2858","214","720","1177","0.35","2894992","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-like","10","brp.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs","sat-like","10","cambridge.2","dve2C","tg,bs,hf","0.000","","","","","","18","58","4090","4090","0.530","15940","3370","3230","4448","15848","0.54","2894996","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-like","10","plc.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","2576","","","","","","","","",
"performance","done","","chain","sat-like","10","phils.6","dve2C","tg,bs,hf","0.000","","","","","","30","60","1300","1300","0.040","14348906","245","210","321","300","0.05","2893088","","","","","","","","",
"performance","done","","bfs","sat-like","10","lup.2","dve2C","tg,bs,hf","0.010","","","","","","10","96","9216","9216","7.040","495720","4017","6731","193536","23796864","7.05","2915448","","","","","","","","",
"performance","done","","chain","sat-like","10","lifts.3","dve2C","tg,bs,hf","0.010","","","","","","29","201","21605","21605","4.510","30772","22676","2824","31204","55466","4.54","2899248","","","","","","","","",
"performance","done","","chain","sat-like","10","pgm_protocol.4","dve2C","tg,bs,hf","0.010","","","","","","122","120","29421","29421","9.250","39832","58129","4941","17699","36106","9.29","2903952","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","sokoban.1","dve2C","tg,bs,hf","0.010","","","","","","68","9","1107","1107","6.980","91453","4406","26077","35263","731641","7.01","3001424","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-like","10","elevator_planning.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","mcs.1","dve2C","tg,bs,hf","0.000","","","","","","13","39","2697","2697","0.120","7963","964","207","620","918","0.13","2892876","","","","","","","","",
"performance","error","boostperm","chain","sat-like","10","frogs.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","chain-prev","sat-like","10","sorter.4","dve2C","tg,bs,hf","0.000","","","","","","26","58","57084","57084","24.420","13184427","29626","1262","2944","17685","24.43","3120556","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","synapse.7","dve2C","tg,bs,hf","0.030","","","","","","28","221","33846","33846","18.760","10198141","122405","2276","16980","75383","18.83","2959720","","","","","","","","",
"performance","error","boostperm","bfs","sat-like","10","frogs.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","error","boostperm","chain","sat-like","10","frogs.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"statistics","error","boostperm","chain-prev","sat-like","10","production_cell.1","dve2C","tg,bs,hf","","118","3050","3528","10.336","10.949","","","","","","","","","","","0.00","88","","","","","","","","",
"statistics","error","boostperm","chain-prev","sat-like","10","telephony.2","dve2C","tg,bs,hf","","243","23767","25708","15.323","16.256","","","","","","","","","","","0.01","3600","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","20963","20963","37.340","41387484","95004","4223","12799","54651","37.38","3187196","","","","","","","","",
"performance","done","","chain","sat-like","10","lamport_nonatomic.2","dve2C","tg,bs,hf","0.000","","","","","","18","147","3043","3043","0.140","12958","546","497","3210","5744","0.16","2893220","","","","","","","","",
"performance","done","","chain","sat-like","10","synapse.6","dve2C","tg,bs,hf","0.020","","","","","","28","194","17099","17099","8.420","625175","32661","1521","13919","38857","8.46","2905808","","","","","","","","",
"performance","error","boostperm","chain","sat-like","10","bakery.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","20963","20963","36.020","41387484","95004","4223","12799","54651","36.06","3186468","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","10","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-like","10","mcs.3","dve2C","tg,bs,hf","0.000","","","","","","17","52","9386","9386","7.760","571459","19764","360","879","1606","7.77","2937964","","","","","","","","",
"performance","error","boostperm","chain","sat-like","10","driving_phils.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","collision.4","dve2C","tg,bs,hf","0.000","","","","","","22","53","26892","26892","3.800","41465543","6175","492","1063","2038","3.81","2940148","","","","","","","","",
"performance","done","","chain-prev","sat-like","10","exit.1","dve2C","tg,bs,hf","0.000","","","","","","26","45","5772","5772","3.680","3239334","28145","1982","10587","104123","3.70","2913448","","","","","","","","",
"performance","done","","chain","sat-like","10","sorter.3","dve2C","tg,bs,hf","0.000","","","","","","26","58","13334","13334","6.870","1288478","17645","436","1537","6972","6.87","2931952","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","production_cell.2","dve2C","tg,bs,hf","0.000","","","","","","18","26","2924","2924","0.100","9003","685","212","468","972","0.11","2892916","","","","","","","","",
"statistics","done","","chain-prev","sat-like","10","synapse.7","dve2C","tg,bs,hf","0.170","1385","696148","737376","45.30219","48.07053","28","221","21877","21877","20.660","10198141","122405","2276","16980","75383","21.17","2956012","161913","2632359","5852255","66669934","2672685","2283","3076270","","24705390",
"performance","done","","bfs-prev","sat-like","10","pgm_protocol.7","dve2C","tg,bs,hf","0.010","","","","","","124","120","64570","64570","7.770","322585","99880","5309","21071","52214","7.82","2932676","","","","","","","","",
"performance","done","","chain-prev","sat-like","10","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","198","198","215.930","3370680","1558043","377747","1538126","1842300","216.50","3829372","","","","","","","","",
"performance","done","","chain","sat-like","10","brp2.3","dve2C","tg,bs,hf","0.000","","","","","","19","33","10200","10200","4.730","40184","26573","3700","6038","15031","4.75","2905276","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","phils.2","dve2C","tg,bs,hf","0.000","","","","","","11","30","622","622","0.010","581","148","150","227","290","0.02","2892876","","","","","","","","",
"performance","done","","bfs","sat-like","10","lifts.3","dve2C","tg,bs,hf","0.010","","","","","","29","201","37396","37396","8.150","30772","22676","2824","31204","55466","8.19","2903948","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","needham.1","dve2C","tg,bs,hf","0.000","","","","","","14","55","700","700","0.020","497","322","370","1325","2057","0.02","2835600","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","fischer.6","dve2C","tg,bs,hf","0.000","","","","","","18","49","2435","2435","2.880","8321728","22420","306","802","392177","2.90","2928140","","","","","","","","",
"performance","done","","bfs-prev","sat-like","10","cyclic_scheduler.1","dve2C","tg,bs,hf","0.000","","","","","","32","48","1045","1045","0.040","4606","221","218","450","352","0.05","366484","","","","","","","","",
