"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state_vector_length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus"
"performance","ootime","killed","chain","sat-like","20","true","true","soli0_counter_square5.pnml","51","84","540","0","tg,bs,hf","0.010","51","84","","","","","","","","","1789.05","3940312","","","","","","",
"performance","done","","bfs-prev","sat-like","20","true","true","rwmutex-r10w500.pnml","1030","1020","12060","0","tg,bs,hf","4.250","1030","1020","16362","16362","53.380","1524","229089","24120","34068","1025060","58.34","2929392",
"performance","done","","chain","sat-like","20","true","true","HouseConstruction-020.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","852","852","48.370","13665907559010","428701","12680","10241","98098","48.54","2997292",
"performance","oomem","cache","bfs-prev","sat-like","20","true","true","Philosophers-5000.pnml","25000","25000","80000","0","tg,bs,hf","42.590","25000","25000","","","","","","","","","53.85","3254092","","","","","","",
"statistics","oomem","mddtable","chain-prev","sat-like","20","true","true","QCertifProtocol_32-unfold.pnml","3806","506","8173","0","tg,bs,hf","1.790","3806","506","","","","","","","","","122.31","3886468","","","","","","",
"performance","ootime","killed","bfs","sat-like","20","true","true","lamport_fmea-7.pnml","264","536","2352","0","tg,bs,hf","0.110","264","536","","","","","","","","","1795.88","3872036","","","","","","",
"performance","done","","chain","sat-like","20","true","true","closed_system1.pnml","231","202","846","0","tg,bs,hf","0.010","231","202","6653","6653","0.810","25632","4349","1158","1838","955","0.84","2893776",
"performance","oomem","regroup","bfs-prev","sat-like","20","true","true","Philosophers-10000.pnml","50000","50000","160000","0","tg,bs,hf","","","","","","","","","","","","143.48","3992988","","","","","","",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.150","900","6844","","","","","","","","","1786.73","3987976","","","","","","",
"statistics","ootime","killed","bfs-prev","sat-like","20","true","true","Peterson-4.pnml","480","690","2120","0","tg,bs,hf","0.610","480","690","","","","","","","","","1794.54","3930364","","","","","","",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","Kanban-500.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1761.55","3941304","","","","","","",
"performance","done","","bfs-prev","sat-like","20","true","true","cs_repetitions-4-unfolded.pnml","117","176","624","0","tg,bs,hf","0.010","117","176","15443","15443","83.260","30948223090688","42093","3322","3981","3856","83.31","3582764",
