"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","bfs-prev","sat-loop","2147483647","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","15890","15890","119.950","41387484","95004","4223","12799","54651","119.99","3666880","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","lamport_nonatomic.2","dve2C","tg,bs,hf","0.010","","","","","","18","147","1764","1764","0.110","12958","546","497","3210","5744","0.12","2893188","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","synapse.6","dve2C","tg,bs,hf","0.030","","","","","","28","194","6402","6402","9.580","625175","32661","1521","13919","38857","9.63","2922160","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","2147483647","bakery.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","15890","15890","103.580","41387484","95004","4223","12799","54651","103.62","3665128","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","2147483647","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","mcs.3","dve2C","tg,bs,hf","0.000","","","","","","17","52","3692","3692","6.900","571459","19764","360","879","1606","6.91","2944200","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","2147483647","driving_phils.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","collision.4","dve2C","tg,bs,hf","0.000","","","","","","22","53","8904","8904","51.770","41465543","6175","492","1063","2038","51.78","3400976","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","exit.1","dve2C","tg,bs,hf","0.000","","","","","","26","45","1170","1170","1.020","3239334","28145","1982","10587","104123","1.04","2899088","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","sorter.3","dve2C","tg,bs,hf","0.000","","","","","","26","58","6264","6264","4.750","1288478","17645","436","1537","6972","4.77","2938120","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","production_cell.2","dve2C","tg,bs,hf","0.000","","","","","","18","26","3822","3822","0.150","9003","685","212","468","972","0.17","2892924","","","","","","","","",
"statistics","done","","chain-prev","sat-loop","2147483647","synapse.7","dve2C","tg,bs,hf","0.180","1385","696148","737376","45.30219","48.07053","28","221","7735","7735","59.810","10198141","122405","2276","16980","75383","60.13","3114832","358593","10751592","13152070","201422769","4784429","2287","4365661","","83741508",
"performance","done","","bfs-prev","sat-loop","2147483647","pgm_protocol.7","dve2C","tg,bs,hf","0.010","","","","","","124","120","52560","52560","28.060","322585","99880","5309","21071","52214","28.12","3022720","","","","","","","","",
