"filename","filetype","event-span","event-span-norm","weighted-event-span","weighted-event-span-norm"
"lamport.3","dve2C",90,0.195,95.3,0.206
"lamport.5","dve2C",133,0.17,144,0.184
"lamport.6","dve2C",191,0.244,244,0.311
"lamport.7","dve2C",223,0.1874,260.2,0.2187
"lamport.8","dve2C",223,0.1874,260.2,0.2187
"lamport_nonatomic.1","dve2C",1035,0.3912,1285,0.4855
"lamport_nonatomic.2","dve2C",1035,0.3912,1285,0.4855
"lamport_nonatomic.3","dve2C",1035,0.3912,1285,0.4855
"lamport_nonatomic.4","dve2C",2097,0.3581,2608,0.4453
"lamport_nonatomic.5","dve2C",3606,0.32932,4448.6,0.40626
"lann.1","dve2C",94,0.232,102,0.253
"lann.2","dve2C",141,0.163,153,0.177
"lann.3","dve2C",119,0.149,129,0.161
"lann.4","dve2C",187,0.1385,201.7,0.1494
"lann.5","dve2C",213,0.1096,224.3,0.1154
"lann.6","dve2C",127,0.159,136,0.17
"lann.7","dve2C",149,0.1192,158.2,0.1265
"lann.8","dve2C",159,0.1272,167.5,0.134
"leader_election.1","dve2C",1030,0.1191,1187,0.1373
"leader_election.2","dve2C",1030,0.1191,1187,0.1373
"leader_election.3","dve2C",1402,0.10164,1608.3,0.1166
"leader_election.4","dve2C",1844,0.089449,2121.3,0.1029
"leader_election.5","dve2C",2362,0.080515,2733.3,0.093173
"leader_election.6","dve2C",2962,0.073709,3452.3,0.08591
"leader_filters.1","dve2C",172,0.273,264,0.418
"leader_filters.2","dve2C",172,0.273,264,0.418
"leader_filters.3","dve2C",238,0.259,360,0.391
"leader_filters.4","dve2C",,,,
"leader_filters.5","dve2C",361,0.2579,557.6,0.3983
"leader_filters.6","dve2C",361,0.2579,557.6,0.3983
"leader_filters.7","dve2C",468,0.26,720,0.4
"lifts.1","dve2C",1141,0.3842,1367,0.4602
"lifts.2","dve2C",1141,0.3842,1367,0.4602
"lifts.3","dve2C",1851,0.3176,2107,0.3615
"lifts.4","dve2C",1851,0.3176,2107,0.3615
"lifts.5","dve2C",1851,0.3176,2107,0.3615
"lifts.6","dve2C",2753,0.2864,3065,0.3189
"lifts.7","dve2C",2753,0.2864,3065,0.3189
"lifts.8","dve2C",2753,0.2864,3065,0.3189
"loyd.1","dve2C",,,,
"loyd.2","dve2C",,,,
"loyd.3","dve2C",,,,
"lup.1","dve2C",216,0.75,272,0.944
"lup.2","dve2C",624,0.65,787,0.82
"lup.3","dve2C",756,0.6364,955.6,0.8044
"lup.4","dve2C",900,0.625,1140,0.7917
"mcs.1","dve2C",127,0.25,162,0.319
"mcs.2","dve2C",98,0.193,114,0.225
"mcs.3","dve2C",204,0.231,268,0.304
"mcs.4","dve2C",162,0.183,204,0.23
"mcs.5","dve2C",302,0.2212,406.5,0.2978
"mcs.6","dve2C",228,0.167,285.7,0.2093
"msmie.1","dve2C",280,0.299,338,0.361
"msmie.2","dve2C",1025,0.3292,1347,0.4325
"msmie.3","dve2C",1778,0.3542,2475,0.4929
"msmie.4","dve2C",4663,0.37008,6481.5,0.5144
"needham.1","dve2C",353,0.458,493,0.641
"needham.2","dve2C",662,0.3217,742.6,0.3608
"needham.3","dve2C",827,0.3104,926.2,0.3477
"needham.4","dve2C",1324,0.3217,1506,0.3658
"peg_solitaire.1","dve2C",864,1,1630,1.89
"peg_solitaire.2","dve2C",,,,
"peg_solitaire.3","dve2C",,,,
"peg_solitaire.4","dve2C",1620,1,3120,1.926
"peg_solitaire.5","dve2C",7140,1,14000,1.961
"peg_solitaire.6","dve2C",,,,
