"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","error","boostperm","bfs-prev","sat-like","2147483647","bakery.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","pgm_protocol.2","dve2C","tg,bs,hf","0.010","","","","","","122","120","44040","44040","6.290","17096","40453","4156","14014","21003","6.33","2916284","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-like","2147483647","bakery.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","lann.1","dve2C","tg,bs,hf","0.000","","","","","","15","27","2970","2970","0.230","18424","2461","178","426","693","0.23","2892904","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","lifts.1","dve2C","tg,bs,hf","0.000","","","","","","22","135","7830","7830","0.260","2661","3570","918","11234","15918","0.27","2893292","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-like","2147483647","frogs.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","error","boostperm","chain","sat-like","2147483647","plc.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","5200","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","lann.8","dve2C","tg,bs,hf","0.000","","","","","","25","50","","","","","","","","","","","","","","","","","","",
"statistics","done","","chain","sat-like","2147483647","synapse.5","dve2C","tg,bs,hf","0.070","902","277569","295622","36.0086","37.3091","28","167","5511","5511","3.460","83263","20695","1154","14993","41330","3.72","2901720","27646","1226331","","7342876","151059","994","","","7280205",
"performance","done","","chain","sat-like","2147483647","leader_filters.2","dve2C","tg,bs,hf","0.000","","","","","","21","30","690","690","0.340","29284","3114","688","1388","3112","0.36","2894968","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","at.2","dve2C","tg,bs,hf","0.000","","","","","","10","43","2064","2064","0.270","49443","2858","214","720","1177","0.27","2894992","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-like","2147483647","brp.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
