"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","ootime","explore","chain","sat-loop","5","2D8_gradient_30x30_150","pnml","tg,bs,hf","1.020","","","","","","900","6844","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-loop","5","PolyORB-LF-S02-J04-T10-unfolded","pnml","tg,bs,hf","0.960","","","","","","752","1572","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-loop","5","Philosophers-100","pnml","tg,bs,hf","0.030","","","","","","500","500","1500","1500","0.900","5.15377520732011e+47","3178","3200","4402","2800","1.01","2911860","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","5","soli1","pnml","tg,bs,hf","0.000","","","","","","66","76","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","5","unf-8x8-4stageSEN-20","pnml","tg,bs,hf","0.220","","","","","","168","592","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-loop","5","ProductionCell","pnml","tg,bs,hf","0.010","","","","","","176","134","16252","16252","37.870","11329291100161","16311","718","502","1556","37.90","3174756","","","","","","","","",
"performance","done","","chain","sat-loop","5","IBM319","pnml","tg,bs,hf","0.010","","","","","","253","178","4640","4640","0.370","2482","1171","1008","1222","547","0.40","2895376","","","","","","","","",
"performance","oomem","mddtable","chain","sat-loop","5","unf-8x8-4stageSEN-10","pnml","tg,bs,hf","0.240","","","","","","168","592","","","","","","","","","270.63","3842744","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-loop","5","database10UNFOLD","pnml","tg,bs,hf","0.530","","","","","","830","800","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain","sat-loop","5","dekker-100","pnml","tg,bs,hf","119.550","","","","","","500","10200","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-loop","5","2D8_gradient_10x10_150","pnml","tg,bs,hf","0.030","","","","","","100","684","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-loop","5","FMS-200","pnml","tg,bs,hf","0.000","","","","","","22","20","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","5","2D8_gradient_5x5_200","pnml","tg,bs,hf","0.000","","","","","","25","144","","","","","","","","","","","","","","","","","","",
"statistics","ootime","explore","bfs","sat-loop","5","2D8_gradient_5x5_250","pnml","tg,bs,hf","0.020","235","36030","38877","18.1947","19.0888","25","144","","","","","","","","","","","","","","","","","","",
"performance","oomem","mddtable","chain","sat-loop","5","database20UNFOLD","pnml","tg,bs,hf","12.000","","","","","","3260","3200","","","","","","","","","141.65","3908716","","","","","","","","",
"performance","ootime","explore","chain","sat-loop","5","BridgeAndVehicles-V20-P20-N10-unfolded","pnml","tg,bs,hf","0.310","","","","","","68","548","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","5","shared_memory-pt-50","pnml","tg,bs,hf","17.490","","","","","","2651","5050","","","","","","","","","","","","","","","","","","",
"statistics","error","boostperm","bfs-prev","sat-loop","5","planning","pnml","tg,bs,hf","","597","60031","70297","31.7942","34.2437","","","","","","","","","","","0.05","4692","","","","","","","","",
"performance","done","","chain","sat-loop","5","raft_03","pnml","tg,bs,hf","0.010","","","","","","53","98","1267","1267","0.240","33819621","1270","434","320","320","0.26","2899696","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","5","railroad-050-pt","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","5.32","36508","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","FMS-100","pnml","tg,bs,hf","0.000","","","","","","22","20","3385","3385","67.870","2.70305727248432e+21","264627","86555","84885","765863","67.96","3831244","","","","","","","","",
"performance","ootime","explore","chain","sat-loop","5","CircularTrain-768","pnml","tg,bs,hf","0.110","","","","","","1536","768","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-loop","5","angiogenesis-05","pnml","tg,bs,hf","0.000","","","","","","39","64","1875","1875","2.460","42734935","11992","2999","2744","4011","2.48","2920316","","","","","","","","",
"performance","done","","bfs","sat-loop","5","FMS-2","pnml","tg,bs,hf","0.000","","","","","","22","20","209","209","0.010","3444","123","205","203","140","0.01","2891192","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","5","Peterson-4","pnml","tg,bs,hf","0.100","","","","","","480","690","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","ring","pnml","tg,bs,hf","0.000","","","","","","139","87","3963","3963","187.990","902651904000","4834","772","1081","751","188.01","3833972","","","","","","","","",
"performance","ootime","regroup","bfs","sat-loop","5","shared_memory-pt-100","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-loop","5","BridgeAndVehicles-V20-P20-N50-unfolded","pnml","tg,bs,hf","6.080","","","","","","108","2228","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain","sat-loop","5","Peterson-4","pnml","tg,bs,hf","0.090","","","","","","480","690","","","","","","","","","","","","","","","","","","",
