"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.150","900","6844","","","","","","","","","1793.10","3989904","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","PolyORB-LF-S02-J04-T10-unfolded.pnml","752","1572","7262","0","tg,bs,hf","1.210","752","1572","","","","","","","","","1793.76","3962348","","","","","","",
"performance","done","","chain","sat-like","2147483647","true","true","Philosophers-100.pnml","500","500","1600","0","tg,bs,hf","0.030","500","500","1000","1000","0.510","5.15377520732011e+47","3178","3200","4402","2800","0.63","2897988",
"performance","oomem","mddtable","chain-prev","sat-like","2147483647","true","true","soli1.pnml","66","76","456","0","tg,bs,hf","0.000","66","76","","","","","","","","","1133.35","3940136","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.230","168","592","","","","","","","","","1795.93","3861996","","","","","","",
"performance","done","","chain","sat-like","2147483647","true","true","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.000","176","134","9514","9514","26.180","11329291100161","16311","718","502","1556","26.20","2973576",
"performance","done","","chain","sat-like","2147483647","true","true","IBM319.pnml","253","178","526","0","tg,bs,hf","0.010","253","178","6230","6230","0.410","2482","1171","1008","1222","547","0.44","2893268",
"performance","oomem","mddtable","chain","sat-like","2147483647","true","true","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.220","168","592","","","","","","","","","290.31","3946600","","","","","","",
"performance","oomem","mddtable","bfs-prev","sat-like","2147483647","true","true","database10UNFOLD.pnml","830","800","3800","0","tg,bs,hf","0.500","830","800","","","","","","","","","1535.81","3955368","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","dekker-100.pnml","500","10200","80200","0","tg,bs,hf","133.470","500","10200","","","","","","","","","1794.88","3788168","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","2D8_gradient_10x10_150.pnml","100","684","1368","0","tg,bs,hf","0.020","100","684","","","","","","","","","1773.73","3944980","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","FMS-200.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","","","","","","","","","1748.63","3941376","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","2D8_gradient_5x5_200.pnml","25","144","288","0","tg,bs,hf","0.000","25","144","","","","","","","","","1795.37","3939884","","","","","","",
"statistics","ootime","explore","bfs","sat-like","2147483647","true","true","2D8_gradient_5x5_250.pnml","25","144","288","0","tg,bs,hf","0.020","25","144","","","","","","","","","1795.68","3939992","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","true","true","database20UNFOLD.pnml","3260","3200","23200","0","tg,bs,hf","11.790","3260","3200","","","","","","","","","113.92","3911012","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","BridgeAndVehicles-V20-P20-N10-unfolded.pnml","68","548","4070","0","tg,bs,hf","0.320","68","548","","","","","","","","","1793.01","3867388","","","","","","",
"performance","oomem","mddtable","chain-prev","sat-like","2147483647","true","true","shared_memory-pt-50.pnml","2651","5050","20000","0","tg,bs,hf","15.890","2651","5050","","","","","","","","","1005.32","3901660","","","","","","",
"statistics","error","boostperm","bfs-prev","sat-like","2147483647","true","true","planning.pnml","126","128","652","0","tg,bs,hf","","","","","","","","","","","","0.05","96","","","","","","",
"performance","done","","chain","sat-like","2147483647","true","true","raft_03.pnml","53","98","328","53","tg,bs,hf","0.000","53","98","686","686","0.360","33819621","1270","434","320","320","0.38","2889408",
"performance","error","boostperm","bfs-prev","sat-like","2147483647","true","true","railroad-050-pt.pnml","518","2756","16378","0","tg,bs,hf","","","","","","","","","","","","6.23","30608","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","true","true","FMS-100.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","","","","","","","","","1789.20","3939308","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","CircularTrain-768.pnml","1536","768","3072","0","tg,bs,hf","0.110","1536","768","","","","","","","","","1782.41","3952732","","","","","","",
"performance","done","","bfs","sat-like","2147483647","true","true","angiogenesis-05.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","4032","4032","21.410","42734935","11992","2999","2744","4011","21.42","2968820",
"performance","done","","bfs","sat-like","2147483647","true","true","FMS-2.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","580","580","0.020","3444","123","205","203","140","0.03","2646972",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","Peterson-4.pnml","480","690","2120","0","tg,bs,hf","0.100","480","690","","","","","","","","","1796.60","3782816","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","true","true","ring.pnml","139","87","410","0","tg,bs,hf","0.010","139","87","17139","17139","230.760","902651904000","4834","772","1081","751","230.78","3941488",
"performance","oomem","cache","bfs","sat-like","2147483647","true","true","shared_memory-pt-100.pnml","10301","20100","80000","0","tg,bs,hf","334.020","10301","20100","","","","","","","","","338.39","1096708","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","BridgeAndVehicles-V20-P20-N50-unfolded.pnml","108","2228","17190","0","tg,bs,hf","5.680","108","2228","","","","","","","","","1795.20","3460528","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","Peterson-4.pnml","480","690","2120","0","tg,bs,hf","0.090","480","690","","","","","","","","","1796.54","3737816","","","","","","",
"statistics","ootime","regroup","bfs-prev","sat-like","2147483647","true","true","shared_memory-pt-200.pnml","40601","80200","320000","0","tg,bs,hf","","","","","","","","","","","","1795.01","4655164","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","echo-d2r9.pnml","735","570","3220","0","tg,bs,hf","0.110","735","570","","","","","","","","","1787.01","3947180","","","","","","",
