"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state_vector_length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus"
"performance","ootime","explore","chain","sat-like","40","true","true","soli0_counter_square5.pnml","51","84","540","0","tg,bs,hf","0.010","51","84","","","","","","","","","1791.04","3940312","","","","","","",
"performance","done","","bfs-prev","sat-like","40","true","true","rwmutex-r10w500.pnml","1030","1020","12060","0","tg,bs,hf","4.250","1030","1020","9250","9250","53.380","1524","229089","24120","34068","1025060","58.36","2931436",
"performance","done","","chain","sat-like","40","true","true","HouseConstruction-020.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","522","522","25.810","13665907559010","428701","12680","10241","98098","25.92","2952084",
"performance","oomem","cache","bfs-prev","sat-like","40","true","true","Philosophers-5000.pnml","25000","25000","80000","0","tg,bs,hf","43.780","25000","25000","","","","","","","","","55.03","3252096","","","","","","",
"performance","oomem","mddtable","chain-prev","sat-like","40","true","true","QCertifProtocol_32-unfold.pnml","3806","506","8173","0","tg,bs,hf","1.690","3806","506","","","","","","","","","118.64","3875228","","","","","","",
"performance","ootime","explore","bfs","sat-like","40","true","true","lamport_fmea-7.pnml","264","536","2352","0","tg,bs,hf","0.110","264","536","","","","","","","","","1794.15","3788240","","","","","","",
"performance","done","","chain","sat-like","40","true","true","closed_system1.pnml","231","202","846","0","tg,bs,hf","0.010","231","202","7618","7618","1.070","25632","4349","1158","1838","955","1.12","2893752",
"performance","oomem","regroup","bfs-prev","sat-like","40","true","true","Philosophers-10000.pnml","50000","50000","160000","0","tg,bs,hf","","","","","","","","","","","","147.95","3992988","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.140","900","6844","","","","","","","","","1768.13","3987928","","","","","","",
"statistics","ootime","explore","bfs-prev","sat-like","40","true","true","Peterson-4.pnml","480","690","2120","0","tg,bs,hf","0.660","480","690","","","","","","","","","1794.39","3946752","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","Kanban-500.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1758.33","3941312","","","","","","",
"performance","done","","bfs-prev","sat-like","40","true","true","cs_repetitions-4-unfolded.pnml","117","176","624","0","tg,bs,hf","0.020","117","176","9804","9804","109.740","30948223090688","42093","3322","3981","3856","109.79","3816244",
"statistics","ootime","explore","chain-prev","sat-like","40","true","true","CircularTrain-384.pnml","768","384","1536","0","tg,bs,hf","0.410","768","384","","","","","","","","","1796.51","3519008","","","","","","",
"performance","sigsegfault","sendinfo","chain-prev","sat-like","40","true","true","neoelection-6.unf.pnml","4830","8435","49028","0","tg,bs,hf","","","","","","","","","","","","38.77","158672","","","","","","",
"performance","ootime","explore","bfs","sat-like","40","true","true","BridgeAndVehicles-V50-P20-N20-unfolded.pnml","138","2348","18090","0","tg,bs,hf","5.670","138","2348","","","","","","","","","1795.59","3132132","","","","","","",
"performance","ootime","explore","chain","sat-like","40","true","true","PolyORB-LF-S02-J06-T10-unfolded.pnml","844","1812","8302","0","tg,bs,hf","1.260","844","1812","","","","","","","","","1797.25","3162444","","","","","","",
"statistics","done","","bfs-prev","sat-like","40","true","true","parking_1_4.pnml","65","97","284","65","tg,bs,hf","0.010","65","97","2475","2475","0.110","31745","657","407","275","260","0.33","2891824","908","9370","11936","140","114293","129326",
"performance","oomem","mddtable","bfs-prev","sat-like","40","true","true","soli2_counter.pnml","75","92","644","0","tg,bs,hf","0.010","75","92","","","","","","","","","906.24","3940616","","","","","","",
"performance","done","","bfs","sat-like","40","true","true","2D8_gradient_10x10_10.pnml","100","684","1368","0","tg,bs,hf","0.030","100","684","28100","28100","23.460","42634215112710","6490","58140","52668","45144","23.53","2947588",
