filename,filetype,order,saturation,sat.granularity,timeAvg,timeSd,solvedCount,peak.nodes,timeBest,memBest,timeMark,memMark,minMemMark,maxSolvedCount,minSd
raft_03,pnml,chain,sat-like,40,0.146,0.0117378779,10,2761,0.146,1733,1,1.5931909983,1.5931909983,10,0.0117378779
raft_04,pnml,chain,sat-like,40,1.551,0.0647130418,10,16573,1.551,9300,1,1.7820430108,1.7820430108,10,0.0647130418
raft_05,pnml,chain,sat-like,40,6.761,0.8446491711,10,48551,6.761,40124,1,1.2100239258,1.2100239258,10,0.8446491711
raft_06,pnml,chain,sat-like,80,31.986,1.518348518,10,172133,31.986,147069,1,1.1704234067,1.1704234067,10,1.518348518
RAS-C-10,pnml,chain-prev,sat-like,5,0.022,0.0042163702,10,509,0.022,509,1,1,1,10,0.0042163702
RAS-C-100,pnml,chain,sat-like,10,1.125,0.0967528352,10,5369,1.125,5369,1,1,1,10,0.0967528352
RAS-C-15,pnml,chain,sat-like,5,0.045,0.0052704628,10,768,0.045,768,1,1,1,10,0.0052704628
RAS-C-20,pnml,chain,sat-like,5,0.066,0.0150554531,10,1049,0.066,1049,1,1,1,10,0.0150554531
RAS-C-3,pnml,chain-prev,sat-like,5,0.005,0.0052704628,10,68,0.005,55,1,1.2363636364,1.2363636364,10,0.0052704628
RAS-C-5,pnml,chain,sat-like,20,0.01,0.0081649658,10,228,0.01,228,1,1,1,10,0.0081649658
RAS-C-50,pnml,chain,sat-like,5,0.307,0.0245175674,10,2669,0.307,2669,1,1,1,10,0.0245175674
RAS-R-10,pnml,chain,sat-like,80,0.012,0.0078881064,10,225,0.012,204,1,1.1029411765,1.1029411765,10,0.0078881064
RAS-R-100,pnml,chain,none,,7.536,0.1900409313,10,18000,7.536,12233,1,1.4714297392,1.4714297392,10,0.1900409313
RAS-R-15,pnml,chain,sat-loop,80,0.034,0.006992059,10,468,0.034,388,1,1.206185567,1.206185567,10,0.006992059
RAS-R-2,pnml,chain,none,,0.002,0.0042163702,10,19,0.002,19,1,1,1,10,0.0042163702
RAS-R-20,pnml,chain,sat-loop,2147483647,0.073,0.0067494856,10,800,0.073,592,1,1.3513513514,1.3513513514,10,0.0067494856
RAS-R-3,pnml,chain,sat-loop,2147483647,0.004,0.0051639778,10,33,0.004,33,1,1,1,10,0.0051639778
RAS-R-5,pnml,chain,sat-loop,5,0.005,0.0070710678,10,86,0.005,68,1,1.2647058824,1.2647058824,10,0.0070710678
RAS-R-50,pnml,chain,sat-loop,2147483647,0.96,0.0226077666,10,4625,0.96,3313,1,1.3960156957,1.3960156957,10,0.0226077666
reader_writer.1,dve2C,chain-prev,sat-like,2147483647,0.011,0.0073786479,10,155,0.011,155,1,1,1,10,0.0073786479
reader_writer.2,dve2C,chain,sat-like,2147483647,0.012,0.0078881064,10,181,0.012,181,1,1,1,10,0.0078881064
reader_writer.3,dve2C,chain-prev,sat-like,2147483647,0.037,0.0048304589,10,407,0.037,407,1,1,1,10,0.0048304589
rether.1,dve2C,chain-prev,sat-like,1,0.127,0.008232726,10,1449,0.127,1449,1,1,1,10,0.008232726
rether.2,dve2C,chain-prev,sat-loop,20,0.687,0.0141813649,10,5188,0.687,5185,1,1.0005785921,1.0005785921,10,0.0141813649
rether.3,dve2C,chain-prev,sat-like,1,17.382,0.3698287892,10,58951,17.382,58951,1,1,1,10,0.3698287892
rether.4,dve2C,chain-prev,sat-like,80,67.628,3.2744220864,10,197333,67.628,196780,1,1.0028102449,1.0028102449,10,3.2744220864
rether.5,dve2C,chain-prev,sat-like,1,122.263,2.9651945786,10,,122.263,397610,1,,,10,2.9651945786
rether.6,dve2C,chain-prev,sat-like,10,760.937,717.0465963016,7,,760.937,645330,1,,,7,717.0465963016
rether.7,dve2C,chain-prev,sat-like,1,222.902,4.5938867591,10,,222.902,810032,1,,,10,4.5938867591
ring,pnml,chain,sat-like,10,2.613,0.3807901143,10,8208,2.613,7287,1,1.1263894607,1.1263894607,10,0.3807901143
rwmutex-r10w10,pnml,chain,sat-like,20,0.025,0.0052704628,10,432,0.025,432,1,1,1,10,0.0052704628
rwmutex-r10w100,pnml,chain-prev,sat-loop,40,0.631,0.042804465,10,883,0.631,883,1,1,1,10,0.042804465
rwmutex-r10w1000,pnml,chain-prev,sat-loop,2147483647,53.725,3.0916563342,10,8200,53.725,8200,1,1,1,10,3.0916563342
rwmutex-r10w20,pnml,chain-prev,sat-loop,20,0.061,0.0056764621,10,1006,0.061,1006,1,1,1,10,0.0056764621
rwmutex-r10w2000,pnml,chain-prev,none,,236.818,11.2417671604,10,,236.818,,1,,,10,11.2417671604
rwmutex-r10w50,pnml,bfs-prev,sat-loop,5,0.25,0.0149071198,10,2614,0.25,2614,1,1,1,10,0.0149071198
rwmutex-r10w500,pnml,bfs-prev,sat-loop,80,54.93,1.6280390386,10,229089,54.93,229089,1,1,1,10,1.6280390386
rwmutex-r20w10,pnml,chain-prev,sat-loop,5,16.272,0.9680312208,10,1608,16.272,1608,1,1,1,10,0.9680312208
SafeBus-03-unfolded,pnml,chain,sat-loop,2147483647,0.514,0.0117378779,10,6198,0.514,5326,1,1.163725122,1.163725122,10,0.0117378779
schedule_world.1,dve2C,chain-prev,sat-like,1,0.049,0.0073786479,10,855,0.049,855,1,1,1,10,0.0073786479
schedule_world.2,dve2C,chain,sat-like,1,0.159,0.0073786479,10,4385,0.159,4255,1,1.0305522914,1.0305522914,10,0.0073786479
