"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","done","","chain-prev","sat-like","2147483647","true","true","IBM703.pnml","262","284","572","0","tg,bs,hf","0.010","262","284","11644","11644","2.310","8370","1192","1144","1432","860","2.35","2896616",
"performance","oomem","mddtable","chain","sat-like","2147483647","true","true","soli0_counter_square5.pnml","51","84","540","0","tg,bs,hf","0.010","51","84","","","","","","","","","1268.84","3940308","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","true","true","rwmutex-r10w500.pnml","1030","1020","12060","0","tg,bs,hf","4.490","1030","1020","11220","11220","77.700","1524","229089","24120","34068","1025060","82.99","2943528",
"performance","done","","chain","sat-like","2147483647","true","true","HouseConstruction-020.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","522","522","27.020","13665907559010","428701","12680","10241","98098","27.13","2948696",
"performance","oomem","cache","bfs-prev","sat-like","2147483647","true","true","Philosophers-5000.pnml","25000","25000","80000","0","tg,bs,hf","45.520","25000","25000","","","","","","","","","57.19","3332228","","","","","","",
"performance","oomem","mddtable","chain-prev","sat-like","2147483647","true","true","QCertifProtocol_32-unfold.pnml","3806","506","8173","0","tg,bs,hf","1.790","3806","506","","","","","","","","","93.34","3873144","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","lamport_fmea-7.pnml","264","536","2352","0","tg,bs,hf","0.100","264","536","","","","","","","","","1789.80","3945660","","","","","","",
"performance","done","","chain","sat-like","2147483647","true","true","closed_system1.pnml","231","202","846","0","tg,bs,hf","0.010","231","202","24442","24442","2.510","25632","4349","1158","1838","955","2.54","2893932",
"performance","oomem","regroup","bfs-prev","sat-like","2147483647","true","true","Philosophers-10000.pnml","50000","50000","160000","0","tg,bs,hf","","","","","","","","","","","","143.53","3992984","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.240","900","6844","","","","","","","","","1786.33","3987612","","","","","","",
"statistics","ootime","explore","bfs-prev","sat-like","2147483647","true","true","Peterson-4.pnml","480","690","2120","0","tg,bs,hf","0.580","480","690","","","","","","","","","1794.70","3948736","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","Kanban-500.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1759.64","3941300","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","cs_repetitions-4-unfolded.pnml","117","176","624","0","tg,bs,hf","0.010","117","176","","","","","","","","","1784.13","3943220","","","","","","",
"statistics","ootime","explore","chain-prev","sat-like","2147483647","true","true","CircularTrain-384.pnml","768","384","1536","0","tg,bs,hf","0.430","768","384","","","","","","","","","1783.23","3946060","","","","","","",
"performance","sigsegfault","sendinfo","chain-prev","sat-like","2147483647","true","true","neoelection-6.unf.pnml","4830","8435","49028","0","tg,bs,hf","","","","","","","","","","","","38.50","158668","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","BridgeAndVehicles-V50-P20-N20-unfolded.pnml","138","2348","18090","0","tg,bs,hf","5.680","138","2348","","","","","","","","","1797.11","3318496","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","PolyORB-LF-S02-J06-T10-unfolded.pnml","844","1812","8302","0","tg,bs,hf","1.330","844","1812","","","","","","","","","1795.18","3250548","","","","","","",
