"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","chain","sat-loop","5","lamport_nonatomic.2","dve2C","tg,bs,hf","0.000","","","","","","18","147","3046","3046","0.120","12958","546","497","3210","5744","0.15","2893220","","","","","","","","",
"performance","done","","chain","sat-loop","5","synapse.6","dve2C","tg,bs,hf","0.020","","","","","","28","194","15523","15523","10.060","625175","32661","1521","13919","38857","10.09","2916008","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","5","bakery.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","17389","17389","31.020","41387484","95004","4223","12799","54651","31.05","3181820","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","5","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-loop","5","mcs.3","dve2C","tg,bs,hf","0.000","","","","","","17","52","8165","8165","7.330","571459","19764","360","879","1606","7.35","2933960","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","5","driving_phils.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","collision.4","dve2C","tg,bs,hf","0.000","","","","","","22","53","11595","11595","22.190","41465543","6175","492","1063","2038","22.20","3128588","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","exit.1","dve2C","tg,bs,hf","0.000","","","","","","26","45","4978","4978","3.600","3239334","28145","1982","10587","104123","3.63","2913440","","","","","","","","",
"performance","done","","chain","sat-loop","5","sorter.3","dve2C","tg,bs,hf","0.000","","","","","","26","58","10363","10363","6.880","1288478","17645","436","1537","6972","6.89","2938096","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","production_cell.2","dve2C","tg,bs,hf","0.000","","","","","","18","26","2510","2510","0.100","9003","685","212","468","972","0.11","2890876","","","","","","","","",
"statistics","done","","chain-prev","sat-loop","5","synapse.7","dve2C","tg,bs,hf","0.160","1385","696148","737376","45.30219","48.07053","28","221","20176","20176","50.510","10198141","122405","2276","16980","75383","50.83","3063732","286868","6160514","13531687","169317144","8887749","2284","10587112","","61049043",
"performance","done","","bfs-prev","sat-loop","5","pgm_protocol.7","dve2C","tg,bs,hf","0.020","","","","","","124","120","66233","66233","11.070","322585","99880","5309","21071","52214","11.12","2951568","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","198","198","208.210","3370680","1558043","377747","1538126","1842300","208.76","3828348","","","","","","","","",
"performance","done","","chain","sat-loop","5","brp2.3","dve2C","tg,bs,hf","0.000","","","","","","19","33","10193","10193","4.720","40184","26573","3700","6038","15031","4.74","2905304","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","phils.2","dve2C","tg,bs,hf","0.010","","","","","","11","30","410","410","0.010","581","148","150","227","290","0.02","2876500","","","","","","","","",
"performance","done","","bfs","sat-loop","5","lifts.3","dve2C","tg,bs,hf","0.010","","","","","","29","201","24509","24509","4.770","30772","22676","2824","31204","55466","4.79","2901904","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","needham.1","dve2C","tg,bs,hf","0.000","","","","","","14","55","802","802","0.020","497","322","370","1325","2057","0.02","2892972","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","fischer.6","dve2C","tg,bs,hf","0.000","","","","","","18","49","1967","1967","4.590","8321728","22420","306","802","392177","4.60","2948332","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","cyclic_scheduler.1","dve2C","tg,bs,hf","0.000","","","","","","32","48","957","957","0.040","4606","221","218","450","352","0.04","673160","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","rether.1","dve2C","tg,bs,hf","0.000","","","","","","19","51","3417","3417","0.190","2458","1408","371","1476","2051","0.19","2892992","","","","","","","","",
"performance","done","","chain","sat-loop","5","at.3","dve2C","tg,bs,hf","0.000","","","","","","12","57","5892","5892","7.710","1711620","29281","310","1018","2976","7.73","2938052","","","","","","","","",
