"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","error","boostperm","bfs-prev","sat-loop","1","bakery.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","1","pgm_protocol.2","dve2C","tg,bs,hf","0.020","","","","","","122","120","32443","32443","3.250","17096","40453","4156","14014","21003","3.29","2904012","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","1","bakery.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","80","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","1","lann.1","dve2C","tg,bs,hf","0.000","","","","","","15","27","1955","1955","0.210","18424","2461","178","426","693","0.22","2894948","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","1","lifts.1","dve2C","tg,bs,hf","0.000","","","","","","22","135","5836","5836","0.250","2661","3570","918","11234","15918","0.26","2893292","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","1","frogs.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","1","plc.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","4932","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","1","lann.8","dve2C","tg,bs,hf","0.000","","","","","","25","50","","","","","","","","","","","","","","","","","","",
"statistics","done","","chain","sat-loop","1","synapse.5","dve2C","tg,bs,hf","0.070","902","277569","295622","36.0086","37.3091","28","167","13454","13454","4.480","83263","20695","1154","14993","41330","4.74","2901728","1722262","9282703","316503","994","","","8943863",
"performance","done","","chain","sat-loop","1","leader_filters.2","dve2C","tg,bs,hf","0.000","","","","","","21","30","925","925","0.310","29284","3114","688","1388","3112","0.31","2894944","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","1","at.2","dve2C","tg,bs,hf","0.000","","","","","","10","43","3353","3353","0.360","49443","2858","214","720","1177","0.37","2897044","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","1","brp.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
