"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","ootime","explore","chain","sat-loop","20","2D8_gradient_30x30_150","pnml","tg,bs,hf","1.130","","","","","","900","6844","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-loop","20","PolyORB-LF-S02-J04-T10-unfolded","pnml","tg,bs,hf","0.960","","","","","","752","1572","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-loop","20","Philosophers-100","pnml","tg,bs,hf","0.020","","","","","","500","500","1500","1500","1.220","5.15377520732011e+47","3178","3200","4402","2800","1.36","2911884","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","20","soli1","pnml","tg,bs,hf","0.000","","","","","","66","76","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","20","unf-8x8-4stageSEN-20","pnml","tg,bs,hf","0.230","","","","","","168","592","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-loop","20","ProductionCell","pnml","tg,bs,hf","0.010","","","","","","176","134","23746","23746","41.220","11329291100161","16311","718","502","1556","41.25","3191152","","","","","","","","",
"performance","done","","chain","sat-loop","20","IBM319","pnml","tg,bs,hf","0.010","","","","","","253","178","2635","2635","0.250","2482","1171","1008","1222","547","0.28","2895364","","","","","","","","",
"performance","oomem","mddtable","chain","sat-loop","20","unf-8x8-4stageSEN-10","pnml","tg,bs,hf","0.230","","","","","","168","592","","","","","","","","","361.03","3848016","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-loop","20","database10UNFOLD","pnml","tg,bs,hf","0.510","","","","","","830","800","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain","sat-loop","20","dekker-100","pnml","tg,bs,hf","130.570","","","","","","500","10200","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-loop","20","2D8_gradient_10x10_150","pnml","tg,bs,hf","0.020","","","","","","100","684","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-loop","20","FMS-200","pnml","tg,bs,hf","0.000","","","","","","22","20","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","20","2D8_gradient_5x5_200","pnml","tg,bs,hf","0.000","","","","","","25","144","","","","","","","","","","","","","","","","","","",
