"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","error","boostperm","bfs-prev","sat-loop","10","bakery.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","10","pgm_protocol.2","dve2C","tg,bs,hf","0.020","","","","","","122","120","37377","37377","2.680","17096","40453","4156","14014","21003","2.72","2903992","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","10","bakery.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","10","lann.1","dve2C","tg,bs,hf","0.000","","","","","","15","27","2681","2681","0.170","18424","2461","178","426","693","0.18","2894944","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","10","lifts.1","dve2C","tg,bs,hf","0.010","","","","","","22","135","7641","7641","0.210","2661","3570","918","11234","15918","0.22","2893248","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","10","frogs.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","10","plc.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","4940","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","10","lann.8","dve2C","tg,bs,hf","0.000","","","","","","25","50","","","","","","","","","","","","","","","","","","",
"statistics","done","","chain","sat-loop","10","synapse.5","dve2C","tg,bs,hf","0.070","902","277569","295622","36.0086","37.3091","28","167","11597","11597","3.720","83263","20695","1154","14993","41330","3.98","2901604","26855","1437293","","7831498","211529","995","","","8225496",
"performance","done","","chain","sat-loop","10","leader_filters.2","dve2C","tg,bs,hf","0.000","","","","","","21","30","1338","1338","0.280","29284","3114","688","1388","3112","0.28","2892896","","","","","","","","",
