"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","max-tokens","time","memory","bandwidth","profile","span","average-wavefront","RMS-wavefront","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","ootime","noresponse","chain","sat-like","","true","true","distributeur-01-unfolded-10.pnml","120","111160","1026520","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","PolyORB-NT-S05-J80-unfolded.pnml","1189","2350","14464","0","tg,bs,hf","81.030","1189","2350","","","","","","","","","","","","13060","55525746","61072341","595.728602","646.161954","","","","","","",
"performance","sigsegfault","sendinfo","bfs","sat-like","","true","true","CircularTrain-384.pnml","768","384","1536","0","tg,bs,hf","0.440","768","384","","","","","","","","","","0.60","2791492","48","50614","62376","10.52902","10.57196","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","PolyORB-LF-S06-J06-T08-unfolded.pnml","894","14334","119772","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","","true","true","Peterson-5.pnml","834","1242","3828","0","tg,bs,hf","2.330","834","1242","","","","","","","","","","","","4915","3513362","3852541","211.04765","224.46947","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","2D8_gradient_10x10_100.pnml","100","684","1368","0","tg,bs,hf","0.290","100","684","","","","","","","","","","","","690","416815","452605","45.01069","47.83562","","","","","","",
"performance","done","","chain-prev","sat-like","","true","true","database2UNFOLD.pnml","38","32","88","0","tg,bs,hf","0.000","38","32","20","20","0.000","4","50","16","38","16","1","0.00","2283132","37","2111","2964","9.0886","9.3036",
"performance","ootime","noresponse","bfs","sat-like","","true","true","2D8_gradient_30x30_10.pnml","900","6844","13688","0","tg,bs,hf","68.420","900","6844","","","","","","","","","","","","1820","13356953","14274069","136.233016","143.0314","","","","","","",
"performance","ootime","noresponse","chain","sat-like","","true","true","5-100_phaseVariation.pnml","77","677","4685","0","tg,bs,hf","1.860","77","677","","","","","","","","","","","","4074","6756238","7028284","125.55066","134.52321","","","","","","",
"performance","ootime","noresponse","chain","sat-like","","true","true","2D8_gradient_40x40_50.pnml","1600","12324","24648","0","tg,bs,hf","260.010","1600","12324","","","","","","","","","","","","2680","32948755","35614414","197.0817432","209.8546478","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","soli2_counter.pnml","75","92","644","0","tg,bs,hf","0.060","75","92","","","","","","","","","","","","760","170687","195172","62.2256","68.0676","","","","","","",
"performance","done","","bfs-prev","sat-like","","true","true","Philosophers-10.pnml","50","50","160","0","tg,bs,hf","0.000","50","50","246","246","0.010","59049","295","320","441","280","1","0.02","2893660","43","5119","6902","12.281","12.545",
"statistics","ootime","noresponse","bfs","sat-like","","true","true","2D8_gradient_5x5_250.pnml","25","144","288","0","tg,bs,hf","0.020","25","144","","","","","","","","","","","","235","36030","38877","18.1947","19.0888","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","railroad-100-pt.pnml","1018","10506","62728","0","tg,bs,hf","","","","","","","","","","","","","","","63681","1563541711","1587555913","","","","","","","","",
"performance","done","","chain-prev","sat-like","","true","true","Philosophers-200.pnml","1000","1000","3200","0","tg,bs,hf","1.990","1000","1000","5377","5377","2.830","2.65613988875875e+95","6375","6400","8802","5600","1","5.18","2935328","43","107161","145704","12.968846","13.10904",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","30-100_phaseVariation.pnml","2702","30977","215035","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","","true","true","TokenRing-15-unfolded.pnml","256","3616","14464","0","tg,bs,hf","47.140","256","3616","","","","","","","","","","","","4683","25990527","29691452","442.815829","470.633506","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","BridgeAndVehicles-V50-P50-N50-unfolded.pnml","168","5408","42330","0","tg,bs,hf","","","","","","","","","","","","","","","37282","557637012","559908164","186.3242474","","","","","","","",
"performance","done","","chain","sat-like","","true","true","2D8_gradient_5x5_100.pnml","25","144","288","0","tg,bs,hf","0.020","25","144","5732","5732","32.560","2.6010968307696e+25","118675","770400","756288","741744","100","32.64","2995168","235","36030","38877","18.1947","19.0888",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","railroad-100-pt.pnml","1018","10506","62728","0","tg,bs,hf","","","","","","","","","","","","","","","63681","1563541711","1587555913","","","","","","","","",
"statistics","error","boostperm","bfs-prev","sat-like","","true","true","planning.pnml","126","128","652","0","tg,bs,hf","","","","","","","","","","","","","0.06","4704","597","60031","70297","31.7942","34.2437","","","","","","",
"performance","ootime","noresponse","chain","sat-like","","true","true","2D8_gradient_50x50_100.pnml","2500","19404","38808","0","tg,bs,hf","639.790","2500","19404","","","","","","","","","","","","3540","66243354","72222634","262.4929339","281.5196307","","","","","","",
"performance","done","","bfs","sat-like","","true","true","ring.pnml","139","87","410","0","tg,bs,hf","0.030","139","87","7","7","0.000","2","146","6","25","7","1","0.04","2418836","313","38500","44722","27.3007","29.5452",
"performance","done","","chain-prev","sat-like","","true","true","MAPK-40.pnml","22","30","90","0","tg,bs,hf","0.000","22","30","2011","2011","11.160","478293389221095","24492","25435","20770","128280","40","11.18","3130276","35","1889","2555","8.3099","8.5679",
"performance","sigsegfault","sendinfo","bfs","sat-like","","true","true","CircularTrain-096.pnml","192","96","384","0","tg,bs,hf","0.030","192","96","","","","","","","","","","0.04","2333156","39","12453","15318","10.2664","10.3321","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","shared_memory-pt-100.pnml","10301","20100","80000","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","","true","true","angiogenesis-05.pnml","39","64","185","0","tg,bs,hf","0.010","39","64","5130","5130","4.690","42734935","11992","2999","2744","4011","5","4.70","2944872","206","14587","16457","18.274","19.476",
"performance","ootime","noresponse","chain","sat-like","","true","true","PolyORB-LF-S02-J04-T10-unfolded.pnml","752","1572","7262","0","tg,bs,hf","16.910","752","1572","","","","","","","","","","","","6433","10002668","11466880","369.24071","390.65901","","","","","","",
"performance","sigsegfault","sendinfo","chain-prev","sat-like","","true","true","IBM5964.pnml","263","139","541","0","tg,bs,hf","0.050","263","139","","","","","","","","","","0.08","2883116","136","20372","23531","11.0085","11.5781","","","","","","",
"statistics","oomem","regroup","bfs-prev","sat-like","","true","true","shared_memory-pt-200.pnml","40601","80200","320000","0","","","","","","","","","","","","","18.57","4669888","","","","","","","","","","","",
"performance","done","","chain","sat-like","","true","true","RAS-C-20.pnml","120","80","354","0","tg,bs,hf","0.020","120","80","2","2","0.000","2","122","4","4","2","1","0.03","1914528","34","9045","12447","9.07762","9.17883",
"performance","done","","bfs-prev","sat-like","","true","true","RAS-C-100.pnml","600","400","1794","0","tg,bs,hf","0.490","600","400","2","2","0.040","2","602","4","4","2","1","0.63","2860816","34","46485","64527","9.301718","9.368672",
"performance","done","","chain","sat-like","","true","true","MAPK-20.pnml","22","30","90","0","tg,bs,hf","0.000","22","30","1171","1171","0.520","88125763956","4507","7255","5980","19605","20","0.53","2901604","35","1889","2555","8.3099","8.5679",
"performance","ootime","noresponse","bfs","sat-like","","true","true","PolyORB-LF-S04-J04-T06-unfolded.pnml","554","2998","20754","0","tg,bs,hf","161.000","554","2998","","","","","","","","","","","","22330","193260006","197189542","417.605165","442.877006","","","","","","",
"performance","done","","chain-prev","sat-like","","true","true","2-10_phaseVariation.pnml","14","65","443","0","tg,bs,hf","0.010","14","65","231","231","0.180","7716","3723","4328","4617","17471","12","0.21","2894232","375","71234","76580","29.8244","30.8728",
"performance","done","","bfs-prev","sat-like","","true","true","HouseConstruction-002.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","51","51","0.000","132","194","120","139","86","2","0.01","2747824","32","1041","1252","6.505","6.829",
"performance","done","","bfs","sat-like","","true","true","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.040","176","134","147","147","0.040","3","341","30","229","126","1","0.09","2894212","653","83756","93743","36.2515","37.6967",
"performance","ootime","noresponse","chain","sat-like","","true","true","soli1_counter.pnml","67","76","532","0","tg,bs,hf","0.040","67","76","","","","","","","","","","","","624","111095","129536","49.6533","53.6773","","","","","","",
"performance","done","","chain-prev","sat-like","","true","true","IOTP_c1m1p1d1.pnml","111","45","224","0","tg,bs,hf","0.010","111","45","11","11","0.000","2","115","4","52","11","1","0.02","2490628","199","11935","13372","13.0528","14.2796",
"statistics","ootime","noresponse","bfs-prev","sat-like","","true","true","Peterson-4.pnml","480","690","2120","0","tg,bs,hf","0.650","480","690","","","","","","","","","","","","2743","1148012","1260382","126.4887","132.9744","","","","","","",
"performance","done","","bfs-prev","sat-like","","true","true","database20UNFOLD.pnml","3260","3200","23200","0","tg,bs,hf","251.810","3260","3200","29","29","1.610","2","3262","4","460","29","1","257.82","3098160","28997","80995590","87907803","910.516251","997.246238",
"performance","done","","chain","sat-like","","true","true","Philosophers-1000.pnml","5000","5000","16000","0","tg,bs,hf","111.900","5000","5000","29064","29064","116.880","1.32207081948080664e+477","33360","32000","44233","28000","1","238.35","3769932","58","539629","702609","11.6857692","11.8893812",
"performance","sigsegfault","sendinfo","bfs-prev","sat-like","","true","true","RAS-R-3.pnml","12","8","30","0","tg,bs,hf","0.000","12","8","","","","","","","","","","0.01","458160","22","583","720","6.3","6.525","","","","","","",
"performance","done","","bfs","sat-like","","true","true","erk-000100.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","1431","1431","130.380","15914114086","26361","61250","58984","14522386","100","130.41","3833212","17","526","725","6.696","6.919",
"statistics","done","","chain-prev","sat-like","","true","true","CircularTrain-384.pnml","768","384","1536","0","tg,bs,hf","0.440","768","384","3","3","0.060","2","775","8","12","3","2","0.70","2898008","48","50614","62376","10.52902","10.57196","775","1533","2313","8","2304",
"performance","done","","chain-prev","sat-like","","true","true","circadian_clock-000100.pnml","14","16","58","0","tg,bs,hf","0.000","14","16","1791","1791","5.700","42040402004","1018","8024","4064","1062924","100","5.72","3046816","32","1009","1382","8.268","8.642",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","20-10_phaseVariation.pnml","1202","13457","93395","0","tg,bs,hf","","","","","","","","","","","","","","","81119","2702367022","2726376637","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","BridgeAndVehicles-V20-P20-N20-unfolded.pnml","78","968","7350","0","tg,bs,hf","5.780","78","968","","","","","","","","","","","","6532","16706067","16910459","88.486215","90.4986","","","","","","",
"performance","done","","bfs","sat-like","","true","true","Philosophers-200.pnml","1000","1000","3200","0","tg,bs,hf","1.950","1000","1000","5377","5377","7.480","2.65613988875875e+95","6375","6400","8802","5600","1","9.86","2939436","43","107161","145704","12.968846","13.10904",
"statistics","done","","bfs-prev","sat-like","","true","true","parking_1_4.pnml","65","97","284","65","tg,bs,hf","0.010","65","97","1716","1716","0.180","31745","657","407","275","260","1","0.29","2893740","326","20705","24375","23.4793","25.1232","657","47952","16451","140","52756",
"performance","ootime","noresponse","bfs","sat-like","","true","true","TokenRing-50-unfolded.pnml","2601","127551","510204","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","sg-8-4-8.pnml","896","1056","4224","0","tg,bs,hf","4.020","896","1056","","","","","","","","","","","","528","890040","1061975","65.654631","70.950834","","","","","","",
"performance","done","","chain-prev","sat-like","","true","true","cs_repetitions-3-unfolded.pnml","58","81","279","0","tg,bs,hf","0.010","58","81","57540","57540","3.730","134074721","9074","1092","1407","1206","3","3.76","2926776","365","38112","43871","29.4205","31.7167",
"performance","ootime","noresponse","bfs","sat-like","","true","true","BridgeAndVehicles-V80-P20-N20-unfolded.pnml","198","3728","28830","0","tg,bs,hf","170.010","198","3728","","","","","","","","","","","","25372","251141673","253654200","321.625763","330.661343","","","","","","",
"performance","done","","chain","sat-like","","true","true","rwmutex-r500w10.pnml","1520","1020","13040","0","tg,bs,hf","56.450","1520","1020","4","4","0.270","2","1523","12","12","4","1","57.21","2914780","15510","83081929","83437090","63.3707317","70.8459864",
"performance","done","","chain","sat-like","","true","true","RAS-C-20.pnml","120","80","354","0","tg,bs,hf","0.020","120","80","2","2","0.000","2","122","4","4","2","1","0.03","1832584","34","9045","12447","9.07762","9.17883",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","2D8_gradient_20x20_100.pnml","400","2964","5928","0","tg,bs,hf","8.220","400","2964","","","","","","","","","","","","1261","3808882","4068552","87.782393","92.746572","","","","","","",
"performance","sigsegfault","sendinfo","chain-prev","sat-like","","true","true","rwmutex-r10w50.pnml","130","120","1260","0","tg,bs,hf","0.230","130","120","","","","","","","","","","0.26","2550960","1291","970317","1065621","133.794","147.4586","","","","","","",
"performance","sigsegfault","sendinfo","bfs-prev","sat-like","","true","true","SwimmingPool-5.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","","","","","","","","","","0.77","2915656","17","351","477","6.667","7.016","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","2D8_gradient_20x20_100.pnml","400","2964","5928","0","tg,bs,hf","7.690","400","2964","","","","","","","","","","","","1261","3808882","4068552","87.782393","92.746572","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","database40UNFOLD.pnml","12920","12800","156800","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","","true","true","2D8_gradient_20x20_50.pnml","400","2964","5928","0","tg,bs,hf","8.370","400","2964","","","","","","","","","","","","1261","3808882","4068552","87.782393","92.746572","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","20-100_phaseVariation.pnml","1202","13457","93395","0","tg,bs,hf","","","","","","","","","","","","","","","81119","2702367022","2726376637","","","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","BridgeAndVehicles-V80-P20-N10-unfolded.pnml","188","2108","15950","0","tg,bs,hf","44.420","188","2108","","","","","","","","","","","","14062","72509918","72929531","149.771285","161.431995","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","","true","true","PolyORB-LF-S04-J06-T10-unfolded.pnml","966","5354","36134","0","tg,bs,hf","","","","","","","","","","","","","","","38969","556679935","571514997","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","","true","true","PolyORB-NT-S10-J40-unfolded.pnml","854","12340","113999","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","","true","true","closed_system3.pnml","231","202","846","0","tg,bs,hf","0.080","231","202","29","29","0.010","2","247","6","107","29","1","0.11","2889644","366","66279","77742","23.19464","24.96889",
"performance","done","","bfs","sat-like","","true","true","Vasy2003.pnml","485","776","2809","485","tg,bs,hf","1.320","485","776","275036","275036","234.820","9.7947391476109e+21","55228","4038","2760","2694","1","236.31","3523228","3363","2204119","2325933","132.57034","157.78672",
"performance","done","","chain","sat-like","","true","true","Kanban-20.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","586","586","7.450","805422366595","5516","5970","5040","1532916","20","7.46","3042716","34","777","982","5.764","6.024",
"performance","done","","bfs-prev","sat-like","","true","true","IOTP_c3m3p3d3.pnml","111","45","224","0","tg,bs,hf","0.010","111","45","13","13","0.000","4","123","12","56","13","3","0.02","2666764","199","11935","13372","13.0528","14.2796",
"statistics","ootime","noresponse","chain","sat-like","","true","true","rwmutex-r10w2000.pnml","4030","4020","48060","0","tg,bs,hf","","","","","","","","","","","","","","","56083","1295495528","1316329783","807.516931","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","","true","true","circadian_clock-001000.pnml","14","16","58","0","tg,bs,hf","0.000","14","16","","","","","","","","","","","","32","1009","1382","8.268","8.642","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","sg-4-2-4.pnml","240","272","1088","0","tg,bs,hf","0.190","240","272","","","","","","","","","","","","300","113924","135389","32.90438","35.39355","","","","","","",
"performance","done","","bfs","sat-like","","true","true","angiogenesis-05.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","5292","5292","4.440","42734935","11992","2999","2744","4011","5","4.46","2936680","206","14587","16457","18.274","19.476",
