"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","max-tokens","time","memory","bandwidth","profile","span","average-wavefront","RMS-wavefront","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","done","","chain","sat-like","","true","true","echo-d3r3.pnml","265","206","1252","0","tg,bs,hf","0.270","265","206","155","155","0.000","3","451","30","879","151","1","0.32","2862532","786","316801","404332","83.04875","87.38846",
"statistics","ootime","noresponse","bfs-prev","sat-like","","true","true","30-100_phaseVariation.pnml","2702","30977","215035","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","bfs","sat-like","","true","true","eratosthenes-100.pnml","99","283","849","0","tg,bs,hf","","","","","","","","","","","","","0.07","5608","679","170365","192288","61.5158","66.5827","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","lamport_fmea-7.pnml","264","536","2352","0","tg,bs,hf","0.610","264","536","","","","","","","","","","","","2000","1276119","1354546","96.70809","103.0081","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","2D8_gradient_40x40_100.pnml","1600","12324","24648","0","tg,bs,hf","245.340","1600","12324","","","","","","","","","","","","2680","32948755","35614414","197.0817432","209.8546478","","","","","","",
"performance","ootime","noresponse","chain","sat-like","","true","true","dekker-100.pnml","500","10200","80200","0","tg,bs,hf","","","","","","","","","","","","","","","70872","1616424237","1632254849","","","","","","","","",
"performance","done","","chain-prev","sat-like","","true","true","RAS-C-100.pnml","600","400","1794","0","tg,bs,hf","0.450","600","400","2","2","0.030","2","602","4","4","2","1","0.59","2877220","34","46485","64527","9.301718","9.368672",
"performance","done","","bfs","sat-like","","true","true","closed_system1.pnml","231","202","846","0","tg,bs,hf","0.090","231","202","29","29","0.000","2","247","6","107","29","1","0.12","2842528","366","66279","77742","23.19464","24.96889",
"statistics","oomem","mddtable","bfs-prev","sat-like","","true","true","HouseConstruction-100.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","","","","","","","","","","126.07","3846180","32","1041","1252","6.505","6.829","","","","","","",
"performance","ootime","noresponse","chain","sat-like","","true","true","simple_lbs-10.pnml","104","605","4148","0","tg,bs,hf","2.280","104","605","","","","","","","","","","","","4401","7839931","8155972","138.49162","143.96077","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","","true","true","2D8_gradient_10x10_100.pnml","100","684","1368","0","tg,bs,hf","0.280","100","684","","","","","","","","","","","","690","416815","452605","45.01069","47.83562","","","","","","",
"performance","done","","bfs-prev","sat-like","","true","true","Philosophers-10.pnml","50","50","160","0","tg,bs,hf","0.010","50","50","246","246","0.020","59049","295","320","441","280","1","0.03","2893668","43","5119","6902","12.281","12.545",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","BridgeAndVehicles-V80-P20-N10-unfolded.pnml","188","2108","15950","0","tg,bs,hf","44.600","188","2108","","","","","","","","","","","","14062","72509918","72929531","149.771285","161.431995","","","","","","",
"statistics","done","","chain","sat-like","","true","true","rwmutex-r1000w10.pnml","3020","2020","26040","0","tg,bs,hf","252.420","3020","2020","4","4","0.960","2","3023","12","12","4","1","255.05","2942144","31035","327644880","328328688","47.7841699","47.8869882","3023","9065","6044","12","12077",
"performance","done","","chain-prev","sat-like","","true","true","MAPK-20.pnml","22","30","90","0","tg,bs,hf","0.000","22","30","1171","1171","0.800","88125763956","4507","7255","5980","19605","20","0.81","2909796","35","1889","2555","8.3099","8.5679",
"performance","ootime","noresponse","bfs","sat-like","","true","true","unf-8x8-4stageSEN-01.pnml","168","592","3456","0","tg,bs,hf","1.940","168","592","","","","","","","","","","","","3155","3792638","3986841","102.2825","110.43093","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","","true","true","2D8_gradient_5x5_300.pnml","25","144","288","0","tg,bs,hf","0.010","25","144","","","","","","","","","","","","235","36030","38877","18.1947","19.0888","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","unf-8x8-4stageSEN-05.pnml","168","592","3456","0","tg,bs,hf","2.120","168","592","","","","","","","","","","","","3155","3792638","3986841","102.2825","110.43093","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","angiogenesis-25.pnml","39","64","185","0","tg,bs,hf","0.010","39","64","","","","","","","","","","","","206","14587","16457","18.274","19.476","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","","true","true","PolyORB-LF-S06-J04-T04-unfolded.pnml","454","6994","59152","0","tg,bs,hf","","","","","","","","","","","","","","","63384","1956969194","1967973210","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","","true","true","BridgeAndVehicles-V50-P50-N50-unfolded.pnml","168","5408","42330","0","tg,bs,hf","","","","","","","","","","","","","","","37282","557637012","559908164","186.3242474","","","","","","","",
"performance","done","","bfs-prev","sat-like","","true","true","shared_memory-pt-5.pnml","41","55","200","0","tg,bs,hf","0.010","41","55","475","475","0.030","1863","464","390","539","340","1","0.04","2892288","257","23334","27708","34.344","37.228",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","PolyORB-LF-S02-J06-T08-unfolded.pnml","690","1434","6564","0","tg,bs,hf","11.650","690","1434","","","","","","","","","","","","6879","8920907","10331421","369.50306","397.13826","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","TokenRing-50-unfolded.pnml","2601","127551","510204","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","","true","true","2D8_gradient_30x30_100.pnml","900","6844","13688","0","tg,bs,hf","59.140","900","6844","","","","","","","","","","","","1820","13356953","14274069","136.233016","143.0314","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","","true","true","BridgeAndVehicles-V80-P50-N20-unfolded.pnml","198","3728","28830","0","tg,bs,hf","170.490","198","3728","","","","","","","","","","","","25372","251141673","253654200","321.625763","330.661343","","","","","","",
"performance","done","","bfs","sat-like","","true","true","QCertifProtocol_28-unfold.pnml","2998","446","6489","0","tg,bs,hf","11.530","2998","446","70","70","1.360","1","2998","0","2176","70","16","13.88","2945152","5608","16577057","17568340","189.97544","203.81378",
"performance","done","","chain-prev","sat-like","","true","true","MAPK-40.pnml","22","30","90","0","tg,bs,hf","0.000","22","30","2011","2011","10.640","478293389221095","24492","25435","20770","128280","40","10.65","3128924","35","1889","2555","8.3099","8.5679",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","galloc_res-3.pnml","33","4791","38652","0","tg,bs,hf","","","","","","","","","","","","","","","43388","673311297","767907128","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","unf-8x8-4stageSEN-05.pnml","168","592","3456","0","tg,bs,hf","2.150","168","592","","","","","","","","","","","","3155","3792638","3986841","102.2825","110.43093","","","","","","",
"performance","done","","chain-prev","sat-like","","true","true","FMS-10.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","263","263","0.040","2501413200","1437","1505","1365","2048","10","0.06","2893264","27","736","983","5.637","5.834",
"performance","done","","bfs-prev","sat-like","","true","true","ring.pnml","139","87","410","0","tg,bs,hf","0.030","139","87","7","7","0.010","2","146","6","25","7","1","0.04","2515104","313","38500","44722","27.3007","29.5452",
"statistics","error","boostperm","bfs","sat-like","","true","true","eratosthenes-050.pnml","49","108","324","0","tg,bs,hf","","","","","","","","","","","","","0.01","4008","312","26366","29732","23.3083","25.3322","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","PolyORB-LF-S02-J04-T08-unfolded.pnml","614","1242","5732","0","tg,bs,hf","8.060","614","1242","","","","","","","","","","","","5500","5810953","6662741","259.56127","271.82284","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","","true","true","PolyORB-NT-S10-J40-unfolded.pnml","854","12340","113999","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","","true","true","FMS-2.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","103","103","0.010","3444","123","205","203","140","3","0.01","2885060","27","736","983","5.637","5.834",
"performance","done","","bfs-prev","sat-like","","true","true","BridgeAndVehicles-V10-P10-N10-unfolded.pnml","48","288","2090","0","tg,bs,hf","0.380","48","288","53221","53221","17.610","259556","88205","4108","9624","13294","10","18.03","2920008","1882","1351587","1392332","55.17668","56.85824",
"performance","ootime","noresponse","chain","sat-like","","true","true","erk-010000.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","","","","","","","","","","","","17","526","725","6.696","6.919","","","","","","",
"performance","done","","bfs","sat-like","","true","true","parking_4_32.pnml","529","785","2329","529","tg,bs,hf","0.860","529","785","39323","39323","46.700","3.67024772332339e+32","54182","3326","2243","2138","1","47.75","3023380","2962","1050546","1114232","94.547949","107.99207",
"performance","sigsegfault","","chain-prev","sat-like","","true","true","erk-100000.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","","","","","","","","","","3.78","2972928","17","526","725","6.696","6.919","","","","","","",
"performance","done","","chain-prev","sat-like","","true","true","CircularTrain-012.pnml","24","12","48","0","tg,bs,hf","0.000","24","12","4","4","0.000","2","34","8","16","4","2","0.01","1228132","46","1445","1727","9.048","9.312",
"performance","done","","chain-prev","sat-like","","true","true","IOTP_c5m4p3d2.pnml","111","45","224","0","tg,bs,hf","0.010","111","45","15","15","0.000","6","131","20","60","15","5","0.02","2783488","199","11935","13372","13.0528","14.2796",
"performance","done","","bfs","sat-like","","true","true","FMS-5.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","171","171","0.010","2895018","432","580","525","543","5","0.02","2891212","27","736","983","5.637","5.834",
"performance","ootime","noresponse","chain","sat-like","","true","true","2D8_gradient_50x50_150.pnml","2500","19404","38808","0","tg,bs,hf","","","","","","","","","","","","","","","3540","66243354","72222634","","","","","","","","",
"statistics","ootime","noresponse","chain-prev","sat-like","","true","true","angiogenesis-50.pnml","39","64","185","0","tg,bs,hf","0.010","39","64","","","","","","","","","","","","206","14587","16457","18.274","19.476","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","","true","true","rwmutex-r2000w10.pnml","6020","4020","52040","0","tg,bs,hf","","","","","","","","","","","","","","","62031","1305794592","1307137220","","","","","","","","",
"performance","done","","bfs","sat-like","","true","true","erk-000001.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","45","45","0.000","13","27","68","79","43","1","0.00","1707352","17","526","725","6.696","6.919",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","2D8_gradient_5x5_200.pnml","25","144","288","0","tg,bs,hf","0.010","25","144","","","","","","","","","","","","235","36030","38877","18.1947","19.0888","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","","true","true","neoelection-6.unf.pnml","4830","8435","49028","0","tg,bs,hf","","","","","","","","","","","","","","","58863","323978552","335264622","536.463148","","","","","","","",
"statistics","ootime","noresponse","chain-prev","sat-like","","true","true","Peterson-5.pnml","834","1242","3828","0","tg,bs,hf","2.470","834","1242","","","","","","","","","","","","4915","3513362","3852541","211.04765","224.46947","","","","","","",
