"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"statistics","oomem","regroup","bfs-prev","sat-like","2147483647","shared_memory-pt-200","pnml","","","","","","","","","","","","","","","","","","20.46","4617088","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","echo-d2r9","pnml","tg,bs,hf","0.100","","","","","","735","570","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","2147483647","IBM703","pnml","tg,bs,hf","0.010","","","","","","262","284","11644","11644","1.860","8370","1192","1144","1432","860","1.90","2899804","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","soli0_counter_square5","pnml","tg,bs,hf","0.010","","","","","","51","84","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","rwmutex-r10w500","pnml","tg,bs,hf","4.170","","","","","","1030","1020","11220","11220","62.300","1524","229089","24120","34068","1025060","67.10","2944760","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","HouseConstruction-020","pnml","tg,bs,hf","0.000","","","","","","26","18","522","522","27.840","13665907559010","428701","12680","10241","98098","27.95","3071380","","","","","","","","",
"performance","oomem","alloc","bfs-prev","sat-like","2147483647","Philosophers-5000","pnml","tg,bs,hf","39.470","","","","","","25000","25000","","","","","","","","","43.56","3412396","","","","","","","","",
"performance","oomem","mddtable","chain-prev","sat-like","2147483647","QCertifProtocol_32-unfold","pnml","tg,bs,hf","1.630","","","","","","3806","506","","","","","","","","","100.68","3860552","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","lamport_fmea-7","pnml","tg,bs,hf","0.120","","","","","","264","536","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","closed_system1","pnml","tg,bs,hf","0.010","","","","","","231","202","24442","24442","4.050","25632","4349","1158","1838","955","4.10","2897316","","","","","","","","",
"performance","oomem","regroup","bfs-prev","sat-like","2147483647","Philosophers-10000","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","144.05","4308372","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","2D8_gradient_30x30_150","pnml","tg,bs,hf","1.130","","","","","","900","6844","","","","","","","","","","","","","","","","","","",
"statistics","ootime","explore","bfs-prev","sat-like","2147483647","Peterson-4","pnml","tg,bs,hf","0.650","2743","1148012","1260382","126.4887","132.9744","480","690","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","Kanban-500","pnml","tg,bs,hf","0.000","","","","","","16","16","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","cs_repetitions-4-unfolded","pnml","tg,bs,hf","0.010","","","","","","117","176","","","","","","","","","","","","","","","","","","",
"statistics","ootime","explore","chain-prev","sat-like","2147483647","CircularTrain-384","pnml","tg,bs,hf","0.460","48","50614","62376","10.52902","10.57196","768","384","","","","","","","","","","","","","","","","","","",
"performance","error","sigsegfault","chain-prev","sat-like","2147483647","neoelection-6.unf","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","BridgeAndVehicles-V50-P20-N20-unfolded","pnml","tg,bs,hf","5.170","","","","","","138","2348","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","PolyORB-LF-S02-J06-T10-unfolded","pnml","tg,bs,hf","1.120","","","","","","844","1812","","","","","","","","","","","","","","","","","","",
"statistics","done","","bfs-prev","sat-like","2147483647","parking_1_4","pnml","tg,bs,hf","0.020","326","20705","24375","23.4793","25.1232","65","97","3104","3104","0.150","31745","657","407","275","260","0.26","2893740","2135","71875","9269","188667","13079","140","","","200725",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","soli2_counter","pnml","tg,bs,hf","0.010","","","","","","75","92","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-like","2147483647","2D8_gradient_10x10_10","pnml","tg,bs,hf","0.030","","","","","","100","684","34884","34884","69.050","42634215112710","6490","58140","52668","45144","69.11","3360016","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-like","2147483647","eratosthenes-200","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","0.10","9356","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","PolyORB-LF-S02-J04-T08-unfolded","pnml","tg,bs,hf","0.540","","","","","","614","1242","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","unf-8x8-4stageSEN-20","pnml","tg,bs,hf","0.200","","","","","","168","592","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","angiogenesis-50","pnml","tg,bs,hf","0.000","","","","","","39","64","","","","","","","","","","","","","","","","","","",
"performance","ootime","regroup","bfs-prev","sat-like","2147483647","PolyORB-LF-S06-J04-T08-unfolded","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","HouseConstruction-002","pnml","tg,bs,hf","0.000","","","","","","26","18","666","666","0.020","1501","349","248","248","208","0.02","2891164","","","","","","","","",
"performance","error","boostperm","chain","sat-like","2147483647","eratosthenes-100","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","5608","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","PolyORB-LF-S02-J04-T06-unfolded","pnml","tg,bs,hf","0.350","","","","","","476","920","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","Kanban-200","pnml","tg,bs,hf","0.000","","","","","","16","16","","","","","","","","","","","","","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","soli2","pnml","tg,bs,hf","0.000","","","","","","74","92","","","","","","","","","505.65","3843412","","","","","","","","",
"statistics","ootime","regroup","chain","sat-like","2147483647","rwmutex-r10w2000","pnml","tg,bs,hf","","56083","1295495528","1316329783","807.516931","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","BridgeAndVehicles-V50-P50-N10-unfolded","pnml","tg,bs,hf","1.880","","","","","","128","1328","","","","","","","","","","","","","","","","","","",
"statistics","ootime","regroup","bfs-prev","sat-like","2147483647","30-100_phaseVariation","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","angiogenesis-05","pnml","tg,bs,hf","0.000","","","","","","39","64","4032","4032","21.420","42734935","11992","2999","2744","4011","21.45","3012332","","","","","","","","",
"performance","ootime","regroup","chain-prev","sat-like","2147483647","ARMCacheCoherence","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","sg-8-4-8","pnml","tg,bs,hf","0.140","","","","","","896","1056","","","","","","","","","181.68","3859828","","","","","","","","",
"performance","oomem","alloc","chain-prev","sat-like","2147483647","hc5k3p3b15","pnml","tg,bs,hf","78.290","","","","","","9153","25110","","","","","","","","","80.41","1245588","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","FMS-500","pnml","tg,bs,hf","0.000","","","","","","22","20","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","2-100_phaseVariation","pnml","tg,bs,hf","0.000","","","","","","14","65","","","","","","","","","","","","","","","","","","",
"performance","ootime","regroup","bfs","sat-like","2147483647","PolyORB-NT-S10-J20-unfolded","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
"statistics","ootime","explore","bfs-prev","sat-like","2147483647","HouseConstruction-100","pnml","tg,bs,hf","0.000","32","1041","1252","6.505","6.829","26","18","","","","","","","","","","","","","","","","","","",
"performance","ootime","regroup","chain-prev","sat-like","2147483647","TokenRing-50-unfolded","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","echo-d2r19","pnml","tg,bs,hf","1.490","","","","","","3455","2730","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","2147483647","ProductionCell","pnml","tg,bs,hf","0.000","","","","","","176","134","9514","9514","58.750","11329291100161","16311","718","502","1556","58.77","3486052","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","hc3k4p4b12","pnml","tg,bs,hf","0.670","","","","","","1408","2400","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","hc3k4p4b12","pnml","tg,bs,hf","0.740","","","","","","1408","2400","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","SwimmingPool-8","pnml","tg,bs,hf","0.000","","","","","","9","7","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","20-100_phaseVariation","pnml","tg,bs,hf","215.470","","","","","","1202","13457","","","","","","","","","","","","","","","","","","",
"statistics","ootime","regroup","chain","sat-like","2147483647","rwmutex-r1000w10","pnml","tg,bs,hf","","31035","327644880","328328688","47.7841699","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","closed_system2","pnml","tg,bs,hf","0.010","","","","","","231","202","75144","75144","32.790","349874","8904","1446","1944","1053","32.82","3094276","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","BridgeAndVehicles-V50-P20-N20-unfolded","pnml","tg,bs,hf","5.160","","","","","","138","2348","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","unf-8x8-4stageSEN-02","pnml","tg,bs,hf","0.230","","","","","","168","592","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","unf-8x8-4stageSEN-10","pnml","tg,bs,hf","0.230","","","","","","168","592","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","Philosophers-500","pnml","tg,bs,hf","0.480","","","","","","2500","2500","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","lamport_fmea-2","pnml","tg,bs,hf","0.000","","","","","","69","96","2304","2304","0.100","380","888","344","723","409","0.12","2893772","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","2D8_gradient_40x40_100","pnml","tg,bs,hf","3.170","","","","","","1600","12324","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","2D8_gradient_50x50_150","pnml","tg,bs,hf","6.540","","","","","","2500","19404","","","","","","","","","","","","","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","sg-13-6-13","pnml","tg,bs,hf","0.700","","","","","","2301","2756","","","","","","","","","180.90","3886820","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","2D8_gradient_20x20_10","pnml","tg,bs,hf","0.270","","","","","","400","2964","","","","","","","","","","","","","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","hc3k4p4b12","pnml","tg,bs,hf","0.740","","","","","","1408","2400","","","","","","","","","191.82","3860308","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","ring","pnml","tg,bs,hf","0.010","","","","","","139","87","2175","2175","189.270","902651904000","4834","772","1081","751","189.30","3810072","","","","","","","","",
"performance","done","","bfs","sat-like","2147483647","parking_1_4","pnml","tg,bs,hf","0.000","","","","","","65","97","3104","3104","0.160","31745","657","407","275","260","0.16","2893604","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","CircularTrain-096","pnml","tg,bs,hf","0.000","","","","","","192","96","4704","4704","85.250","2.59130027829661e+21","16297","896","1102","928","85.26","3813692","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","RAS-C-15","pnml","tg,bs,hf","0.000","","","","","","90","60","240","240","0.050","578878464","768","528","908","746","0.06","2894864","","","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","QCertifProtocol_22-unfold","pnml","tg,bs,hf","0.450","","","","","","1966","356","","","","","","","","","125.66","3845484","","","","","","","","",
"performance","ootime","regroup","chain-prev","sat-like","2147483647","PolyORB-LF-S06-J06-T08-unfolded","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","shared_memory-pt-5","pnml","tg,bs,hf","0.010","","","","","","41","55","165","165","0.000","1863","464","390","539","340","0.02","2892216","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","rwmutex-r20w10","pnml","tg,bs,hf","0.010","","","","","","80","60","120","120","16.980","1048586","1608","1120","1550","20971660","17.00","2894012","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","PolyORB-LF-S04-J04-T10-unfolded","pnml","tg,bs,hf","49.630","","","","","","870","5034","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","BridgeAndVehicles-V80-P50-N20-unfolded","pnml","tg,bs,hf","17.850","","","","","","198","3728","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","RAS-R-100","pnml","tg,bs,hf","0.010","","","","","","400","202","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","TokenRing-30-unfolded","pnml","tg,bs,hf","94.630","","","","","","961","27931","","","","","","","","","","","","","","","","","","",
"statistics","error","boostperm","bfs","sat-like","2147483647","eratosthenes-050","pnml","tg,bs,hf","","312","26366","29732","23.3083","25.3322","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","Peterson-6","pnml","tg,bs,hf","0.770","","","","","","1330","2030","","","","","","","","","","","","","","","","","","",
"performance","error","sigsegfault","bfs-prev","sat-like","2147483647","neoelection-6.unf","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","regroup","bfs","sat-like","2147483647","galloc_res-5","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
