"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","max-tokens","time","memory","bandwidth","profile","span","average-wavefront","RMS-wavefront","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","ootime","noresponse","chain","sat-like","1","true","false","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.200","900","6844","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","1","true","false","PolyORB-LF-S02-J04-T10-unfolded.pnml","752","1572","7262","0","tg,bs,hf","1.110","752","1572","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-like","1","true","false","Philosophers-100.pnml","500","500","1600","0","tg,bs,hf","0.030","500","500","2677","2677","0.710","5.15377520732011e+47","3178","3200","4402","2800","1","0.84","2905756","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","1","true","false","soli1.pnml","66","76","456","0","tg,bs,hf","0.000","66","76","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","1","true","false","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.220","168","592","","","","","","","","","","","","","","","","","","","","","","",
"performance","sigsegfault","sendinfo","chain","sat-like","1","true","false","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","","","","","","","","","","0.04","2290508","","","","","","","","","","","",
"performance","done","","chain","sat-like","1","true","false","IBM319.pnml","253","178","526","0","tg,bs,hf","0.000","253","178","221","221","0.020","61","415","168","521","198","1","0.06","2895384","","","","","",
"performance","ootime","noresponse","chain","sat-like","1","true","false","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.230","168","592","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","true","false","database10UNFOLD.pnml","830","800","3800","0","tg,bs,hf","0.500","830","800","3","3","0.070","2","834","4","7","3","1","0.93","2885012","","","","","",
"performance","ootime","noresponse","chain","sat-like","1","true","false","dekker-100.pnml","500","10200","80200","0","tg,bs,hf","131.800","500","10200","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","1","true","false","2D8_gradient_10x10_150.pnml","100","684","1368","0","tg,bs,hf","0.030","100","684","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","true","false","FMS-200.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","4492","4492","176.310","1.95363541536061e+25","1719227","333055","329685","5721713","200","176.79","3834468","","","","","",
"performance","ootime","noresponse","bfs","sat-like","1","true","false","2D8_gradient_5x5_200.pnml","25","144","288","0","tg,bs,hf","0.000","25","144","","","","","","","","","","","","","","","","","","","","","","",
"statistics","ootime","noresponse","bfs","sat-like","1","true","false","2D8_gradient_5x5_250.pnml","25","144","288","0","tg,bs,hf","0.010","25","144","","","","","","","","","","","","235","36030","38877","18.1947","19.0888","","","","","","",
"performance","done","","chain","sat-like","1","true","false","database20UNFOLD.pnml","3260","3200","23200","0","tg,bs,hf","11.890","3260","3200","29","29","1.380","2","3262","4","460","29","1","18.92","3099052","","","","","",
"performance","ootime","noresponse","chain","sat-like","1","true","false","BridgeAndVehicles-V20-P20-N10-unfolded.pnml","68","548","4070","0","tg,bs,hf","0.300","68","548","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","1","true","false","shared_memory-pt-50.pnml","2651","5050","20000","0","tg,bs,hf","17.610","2651","5050","","","","","","","","","","","","","","","","","","","","","","",
"statistics","error","boostperm","bfs-prev","sat-like","1","true","false","planning.pnml","126","128","652","0","tg,bs,hf","","","","","","","","","","","","","0.05","4688","597","60031","70297","31.7942","34.2437","","","","","","",
"performance","done","","chain","sat-like","1","true","false","raft_03.pnml","53","98","328","53","tg,bs,hf","0.000","53","98","37876","37876","0.670","33819621","1270","434","320","320","1","0.69","2895652","","","","","",
"performance","error","boostperm","bfs-prev","sat-like","1","true","false","railroad-050-pt.pnml","518","2756","16378","0","tg,bs,hf","","","","","","","","","","","","","5.41","36516","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","1","true","false","FMS-100.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","2078","2078","21.340","2.70305727248432e+21","264627","86555","84885","765863","100","21.45","3173828","","","","","",
"performance","done","","chain","sat-like","1","true","false","CircularTrain-768.pnml","1536","768","3072","0","tg,bs,hf","0.110","1536","768","3","3","0.200","2","1544","8","12","3","2","0.75","2905148","","","","","",
"performance","done","","bfs","sat-like","1","true","false","angiogenesis-05.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","5292","5292","5.180","42734935","11992","2999","2744","4011","5","5.18","2936560","","","","","",
"performance","done","","bfs","sat-like","1","true","false","FMS-2.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","103","103","0.000","3444","123","205","203","140","3","0.01","2880948","","","","","",
