"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","error","boostperm","bfs-prev","sat-like","1","bakery.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","pgm_protocol.2","dve2C","tg,bs,hf","0.010","","","","","","122","120","45125","45125","3.150","17096","40453","4156","14014","21003","3.20","2899992","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-like","1","bakery.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","lann.1","dve2C","tg,bs,hf","0.000","","","","","","15","27","2441","2441","0.160","18424","2461","178","426","693","0.19","2890860","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","lifts.1","dve2C","tg,bs,hf","0.010","","","","","","22","135","7938","7938","0.240","2661","3570","918","11234","15918","0.25","2894108","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-like","1","frogs.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","error","boostperm","chain","sat-like","1","plc.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","4928","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","1","lann.8","dve2C","tg,bs,hf","0.000","","","","","","25","50","","","","","","","","","","","","","","","","","","",
"statistics","done","","chain","sat-like","1","synapse.5","dve2C","tg,bs,hf","0.070","902","277569","295622","36.0086","37.3091","28","167","37613","37613","5.200","83263","20695","1154","14993","41330","5.47","2899688","1880674","8255092","226754","994","","","8531977",
"performance","done","","chain","sat-like","1","leader_filters.2","dve2C","tg,bs,hf","0.000","","","","","","21","30","2559","2559","0.200","29284","3114","688","1388","3112","0.20","2892928","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","at.2","dve2C","tg,bs,hf","0.000","","","","","","10","43","6045","6045","0.240","49443","2858","214","720","1177","0.25","2895000","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-like","1","brp.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs","sat-like","1","cambridge.2","dve2C","tg,bs,hf","0.000","","","","","","18","58","6828","6828","0.550","15940","3370","3230","4448","15848","0.57","2895028","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-like","1","plc.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","4932","","","","","","","","",
"performance","done","","chain","sat-like","1","phils.6","dve2C","tg,bs,hf","0.000","","","","","","30","60","1058","1058","0.020","14348906","245","210","321","300","0.03","2891048","","","","","","","","",
"performance","done","","bfs","sat-like","1","lup.2","dve2C","tg,bs,hf","0.000","","","","","","10","96","15708","15708","10.980","495720","4017","6731","193536","23796864","10.99","2936096","","","","","","","","",
"performance","done","","chain","sat-like","1","lifts.3","dve2C","tg,bs,hf","0.020","","","","","","29","201","30229","30229","4.700","30772","22676","2824","31204","55466","4.74","2899796","","","","","","","","",
"performance","done","","chain","sat-like","1","pgm_protocol.4","dve2C","tg,bs,hf","0.010","","","","","","122","120","48311","48311","8.580","39832","58129","4941","17699","36106","8.63","2903972","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","sokoban.1","dve2C","tg,bs,hf","0.000","","","","","","68","9","1107","1107","7.840","91453","4406","26077","35263","731641","7.85","3003568","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-like","1","elevator_planning.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","mcs.1","dve2C","tg,bs,hf","0.000","","","","","","13","39","5989","5989","0.140","7963","964","207","620","918","0.16","2892908","","","","","","","","",
"performance","error","boostperm","chain","sat-like","1","frogs.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","done","","chain-prev","sat-like","1","sorter.4","dve2C","tg,bs,hf","0.000","","","","","","26","58","188050","188050","37.300","13184427","29626","1262","2944","17685","37.32","3165492","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","synapse.7","dve2C","tg,bs,hf","0.030","","","","","","28","221","46365","46365","21.470","10198141","122405","2276","16980","75383","21.55","2967420","","","","","","","","",
"performance","error","boostperm","bfs","sat-like","1","frogs.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","error","boostperm","chain","sat-like","1","frogs.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"statistics","error","boostperm","chain-prev","sat-like","1","production_cell.1","dve2C","tg,bs,hf","","118","3050","3528","10.336","10.949","","","","","","","","","","","0.01","92","","","","","","","","",
"statistics","error","boostperm","chain-prev","sat-like","1","telephony.2","dve2C","tg,bs,hf","","243","23767","25708","15.323","16.256","","","","","","","","","","","0.01","3620","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","436","436","0.010","586","233","227","772","488","0.02","2882812","","","","","","","","",
"performance","done","","chain","sat-like","1","lamport_nonatomic.2","dve2C","tg,bs,hf","0.000","","","","","","18","147","5094","5094","0.070","12958","546","497","3210","5744","0.07","2893228","","","","","","","","",
"performance","done","","chain","sat-like","1","synapse.6","dve2C","tg,bs,hf","0.020","","","","","","28","194","35525","35525","8.090","625175","32661","1521","13919","38857","8.12","2905816","","","","","","","","",
"performance","error","boostperm","chain","sat-like","1","bakery.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","80","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","436","436","0.010","586","233","227","772","488","0.02","2893052","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","1","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-like","1","mcs.3","dve2C","tg,bs,hf","0.000","","","","","","17","52","43697","43697","5.110","571459","19764","360","879","1606","5.12","2909380","","","","","","","","",
"performance","error","boostperm","chain","sat-like","1","driving_phils.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","84","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","collision.4","dve2C","tg,bs,hf","0.000","","","","","","22","53","39069","39069","1.450","41465543","6175","492","1063","2038","1.46","2901240","","","","","","","","",
"performance","done","","chain-prev","sat-like","1","exit.1","dve2C","tg,bs,hf","0.000","","","","","","26","45","5544","5544","3.800","3239334","28145","1982","10587","104123","3.82","2913448","","","","","","","","",
"performance","done","","chain","sat-like","1","sorter.3","dve2C","tg,bs,hf","0.000","","","","","","26","58","39099","39099","4.750","1288478","17645","436","1537","6972","4.77","2907404","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","production_cell.2","dve2C","tg,bs,hf","0.000","","","","","","18","26","2964","2964","0.110","9003","685","212","468","972","0.12","2892924","","","","","","","","",
"statistics","done","","chain-prev","sat-like","1","synapse.7","dve2C","tg,bs,hf","0.180","1385","696148","737376","45.30219","48.07053","28","221","43256","43256","31.770","10198141","122405","2276","16980","75383","32.23","2963388","172413","2430035","7820872","80074041","4284416","2283","6005345","","27220403",
"performance","done","","bfs-prev","sat-like","1","pgm_protocol.7","dve2C","tg,bs,hf","0.020","","","","","","124","120","56819","56819","6.250","322585","99880","5309","21071","52214","6.30","2918352","","","","","","","","",
"performance","done","","chain-prev","sat-like","1","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","708","708","197.970","3370680","1558043","377747","1538126","1842300","198.54","3511768","","","","","","","","",
"performance","done","","chain","sat-like","1","brp2.3","dve2C","tg,bs,hf","0.000","","","","","","19","33","9210","9210","2.570","40184","26573","3700","6038","15031","2.59","2901180","","","","","","","","",
"performance","done","","bfs-prev","sat-like","1","phils.2","dve2C","tg,bs,hf","0.000","","","","","","11","30","358","358","0.010","581","148","150","227","290","0.02","2890836","","","","","","","","",
"performance","done","","bfs","sat-like","1","lifts.3","dve2C","tg,bs,hf","0.010","","","","","","29","201","32901","32901","5.420","30772","22676","2824","31204","55466","5.46","2899852","","","","","","","","",
