"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","ootime","explore","chain","sat-like","30","true","true","soli0_counter_square5.pnml","51","84","540","0","tg,bs,hf","0.010","51","84","","","","","","","","","1794.20","3942068","","","","","","",
"performance","done","","bfs-prev","sat-like","30","true","true","rwmutex-r10w500.pnml","1030","1020","12060","0","tg,bs,hf","4.060","1030","1020","12068","12068","52.410","1524","229089","24120","34068","1025060","57.19","2931416",
"performance","done","","chain","sat-like","30","true","true","HouseConstruction-020.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","522","522","24.860","13665907559010","428701","12680","10241","98098","24.96","2952084",
"performance","oomem","cache","bfs-prev","sat-like","30","true","true","Philosophers-5000.pnml","25000","25000","80000","0","tg,bs,hf","42.610","25000","25000","","","","","","","","","53.86","3252060","","","","","","",
"performance","oomem","mddtable","chain-prev","sat-like","30","true","true","QCertifProtocol_32-unfold.pnml","3806","506","8173","0","tg,bs,hf","1.730","3806","506","","","","","","","","","127.97","3894528","","","","","","",
"performance","ootime","explore","bfs","sat-like","30","true","true","lamport_fmea-7.pnml","264","536","2352","0","tg,bs,hf","0.110","264","536","","","","","","","","","1793.89","3924304","","","","","","",
"performance","done","","chain","sat-like","30","true","true","closed_system1.pnml","231","202","846","0","tg,bs,hf","0.010","231","202","7903","7903","1.240","25632","4349","1158","1838","955","1.28","2890248",
"performance","oomem","regroup","bfs-prev","sat-like","30","true","true","Philosophers-10000.pnml","50000","50000","160000","0","tg,bs,hf","","","","","","","","","","","","144.55","3992988","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.140","900","6844","","","","","","","","","1783.84","3987976","","","","","","",
"statistics","ootime","explore","bfs-prev","sat-like","30","true","true","Peterson-4.pnml","480","690","2120","0","tg,bs,hf","0.590","480","690","","","","","","","","","1796.21","3948804","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","Kanban-500.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1762.47","3941304","","","","","","",
"performance","done","","bfs-prev","sat-like","30","true","true","cs_repetitions-4-unfolded.pnml","117","176","624","0","tg,bs,hf","0.020","117","176","13603","13603","90.270","30948223090688","42093","3322","3981","3856","90.30","3695412",
"statistics","ootime","explore","chain-prev","sat-like","30","true","true","CircularTrain-384.pnml","768","384","1536","0","tg,bs,hf","0.440","768","384","","","","","","","","","1795.53","3503672","","","","","","",
"performance","sigsegfault","sendinfo","chain-prev","sat-like","30","true","true","neoelection-6.unf.pnml","4830","8435","49028","0","tg,bs,hf","","","","","","","","","","","","38.22","158672","","","","","","",
"performance","ootime","explore","bfs","sat-like","30","true","true","BridgeAndVehicles-V50-P20-N20-unfolded.pnml","138","2348","18090","0","tg,bs,hf","5.990","138","2348","","","","","","","","","1795.21","3132716","","","","","","",
