"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","chain","none","","mcs.5","dve2C","tg,bs,hf","0.000","","","","","","21","65","2275","2275","211.010","60556519","158395","565","1190","2486","211.07","3822852","","","","","","","","",
"performance","done","","bfs","none","","lann.7","dve2C","tg,bs,hf","0.000","","","","","","25","50","18150","18150","18.760","160025986","4946","250","464","862","18.77","3214552","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","telephony.7","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs-prev","none","","lamport.2","dve2C","tg,bs,hf","0.000","","","","","","11","42","3402","3402","0.950","110920","3071","229","725","1533","0.97","2905192","","","","","","","","",
"performance","done","","bfs","none","","leader_filters.7","dve2C","tg,bs,hf","0.000","","","","","","30","60","4320","4320","168.120","26302351","931027","2786","6219","103194","168.41","3730848","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","public_subscribe.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","chain-prev","none","","krebs.4","dve2C","tg,bs,hf","0.000","","","","","","20","22","1342","1342","10.720","1047405","43172","23783","26082","313471","10.77","3017840","","","","","","","","",
"performance","ootime","explore","bfs","none","","peg_solitaire.6","dve2C","tg,bs,hf","0.360","","","","","","38","96","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","none","","lifts.2","dve2C","tg,bs,hf","0.010","","","","","","22","135","3510","3510","0.260","2664","3557","918","11223","15998","0.29","2891204","","","","","","","","",
"performance","error","boostperm","chain","none","","firewire_tree.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.35","46544","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","driving_phils.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","error","boostperm","chain","none","","brp.6","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs-prev","none","","collision.4","dve2C","tg,bs,hf","0.000","","","","","","22","53","8904","8904","41.380","41465543","6175","492","1063","2038","41.39","3400948","","","","","","","","",
"performance","done","","chain","none","","synapse.7","dve2C","tg,bs,hf","0.020","","","","","","28","221","7735","7735","70.480","10198141","122405","2276","16980","75383","70.56","3063596","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","firewire_tree.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.10","15256","","","","","","","","",
"statistics","done","","chain","none","","collision.2","dve2C","tg,bs,hf","0.000","60","2716","3294","9.437","10.462","14","31","868","868","0.080","12661","226","206","438","630","0.19","2893020","104982","143380","9713","190","","","113184",
"performance","done","","chain","none","","brp2.5","dve2C","tg,bs,hf","0.000","","","","","","19","33","7557","7557","27.560","298111","105317","13285","18762","50391","27.61","2942144","","","","","","","","",
"performance","ootime","explore","bfs","none","","anderson.5","dve2C","tg,bs,hf","0.000","","","","","","16","30","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","none","","hanoi.1","dve2C","tg,bs,hf","0.000","","","","","","36","6","1536","1536","3.200","6561","15950","75335","52146","39366","3.26","2915488","","","","","","","","",
"performance","done","","bfs-prev","none","","rether.2","dve2C","tg,bs,hf","0.000","","","","","","23","66","8778","8778","1.060","9278","5155","529","2048","3788","1.06","2895100","","","","","","","","",
"performance","done","","chain-prev","none","","lifts.1","dve2C","tg,bs,hf","0.000","","","","","","22","135","3510","3510","0.200","2661","3570","918","11234","15918","0.20","2893236","","","","","","","","",
"statistics","done","","bfs","none","","elevator2.3","dve2C","tg,bs,hf","0.000","71","2207","2459","5.354","5.538","20","23","1817","1817","1.680","7667712","738","920","1045","865649","1.79","2915524","1671704","1551967","40257","1198","","","533475",
"statistics","error","boostperm","bfs-prev","none","","driving_phils.2","dve2C","tg,bs,hf","","157","9769","11650","17.37","18.731","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","ootime","explore","bfs","none","","iprotocol.5","dve2C","tg,bs,hf","0.000","","","","","","37","35","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","bfs","none","","frogs.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","error","boostperm","bfs","none","","bakery.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","chain-prev","none","","bopdp.2","dve2C","tg,bs,hf","0.000","","","","","","24","79","4187","4187","0.320","25685","1040","332","3479","5294","0.32","2895124","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","elevator_planning.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","2580","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","bakery.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","done","","bfs-prev","none","","collision.2","dve2C","tg,bs,hf","0.000","","","","","","14","31","2046","2046","0.100","12661","226","206","438","630","0.11","2892888","","","","","","","","",
"performance","done","","chain","none","","lann.3","dve2C","tg,bs,hf","0.000","","","","","","20","40","2040","2040","0.870","1832139","1819","187","368","638","0.88","2903220","","","","","","","","",
"performance","done","","bfs-prev","none","","lup.3","dve2C","tg,bs,hf","0.000","","","","","","11","108","12636","12636","28.090","1948617","6390","9120","345924","105228234","28.11","2977084","","","","","","","","",
"performance","done","","chain","none","","elevator.3","dve2C","tg,bs,hf","0.000","","","","","","38","52","2964","2964","25.310","416935","156712","1605","3030","15660","25.35","2973512","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","frogs.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs","none","","fischer.4","dve2C","tg,bs,hf","0.000","","","","","","16","43","1290","1290","1.460","1272254","10552","261","670","79336","1.47","2905244","","","","","","","","",
"performance","done","","bfs","none","","schedule_world.1","dve2C","tg,bs,hf","0.000","","","","","","22","26","364","364","0.110","23061","703","253","319","382","0.11","2892944","","","","","","","","",
"performance","done","","bfs","none","","exit.2","dve2C","tg,bs,hf","0.000","","","","","","28","89","1869","1869","0.610","33670","3289","656","5116","21106","0.62","2895176","","","","","","","","",
"performance","done","","chain-prev","none","","peterson.5","dve2C","tg,bs,hf","0.000","","","","","","20","28","924","924","9.670","131064750","10285","798","762","28983","9.68","3011660","","","","","","","","",
"performance","done","","bfs-prev","none","","elevator.1","dve2C","tg,bs,hf","0.000","","","","","","27","38","2394","2394","0.600","8543","8932","681","1458","3585","0.61","2895048","","","","","","","","",
"performance","done","","bfs","none","","lamport_nonatomic.2","dve2C","tg,bs,hf","0.000","","","","","","18","147","5145","5145","0.210","12958","546","497","3210","5744","0.22","2893196","","","","","","","","",
"performance","done","","bfs","none","","collision.3","dve2C","tg,bs,hf","0.000","","","","","","18","42","4284","4284","3.140","434530","1171","314","711","1116","3.14","2921660","","","","","","","","",
"performance","done","","chain-prev","none","","schedule_world.2","dve2C","tg,bs,hf","0.000","","","","","","28","38","266","266","0.710","1570340","3745","370","390","534","0.72","2899188","","","","","","","","",
"performance","ootime","explore","chain-prev","none","","cambridge.7","dve2C","tg,bs,hf","0.030","","","","","","52","58","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","none","","lamport_nonatomic.3","dve2C","tg,bs,hf","0.000","","","","","","18","147","5880","5880","0.410","36983","481","502","3378","6498","0.44","2894412","","","","","","","","",
"statistics","done","","bfs","none","","peterson.2","dve2C","tg,bs,hf","0.000","39","953","1200","5.393","5.616","15","21","1092","1092","0.260","124704","532","257","333","1923","0.36","2895020","265843","353760","15758","276","","","251710",
"performance","error","boostperm","chain","none","","elevator_planning.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","chain-prev","none","","collision.4","dve2C","tg,bs,hf","0.000","","","","","","22","53","3127","3127","49.450","41465543","6175","492","1063","2038","49.46","3351816","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","plc.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","4940","","","","","","","","",
"performance","done","","chain-prev","none","","peterson.1","dve2C","tg,bs,hf","0.000","","","","","","15","21","525","525","0.070","12498","625","310","504","1378","0.09","2892840","","","","","","","","",
"statistics","done","","chain","none","","elevator2.1","dve2C","tg,bs,hf","0.000","28","622","722","5.778","6.304","11","14","308","308","0.010","1728","156","205","235","831","0.10","2892956","8758","14022","1473","222","","","12506",
"performance","done","","bfs","none","","phils.5","dve2C","tg,bs,hf","0.000","","","","","","24","48","1632","1632","0.080","531440","190","168","257","240","0.08","2893032","","","","","","","","",
"performance","done","","bfs-prev","none","","collision.3","dve2C","tg,bs,hf","0.000","","","","","","18","42","4284","4284","2.640","434530","1171","314","711","1116","2.64","2915528","","","","","","","","",
"performance","done","","bfs-prev","none","","synapse.2","dve2C","tg,bs,hf","0.010","","","","","","22","149","6109","6109","1.060","61048","9284","1420","8544","28636","1.09","2897324","","","","","","","","",
"performance","done","","bfs","none","","bopdp.2","dve2C","tg,bs,hf","0.000","","","","","","24","79","10112","10112","0.930","25685","1040","332","3479","5294","0.95","2895196","","","","","","","","",
"performance","done","","chain-prev","none","","cambridge.5","dve2C","tg,bs,hf","0.010","","","","","","32","58","4234","4234","15.950","698912","17522","29204","41150","371452","16.00","2952392","","","","","","","","",
"performance","ootime","explore","bfs","none","","anderson.7","dve2C","tg,bs,hf","0.000","","","","","","19","36","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","chain","none","","brp.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","ootime","explore","chain-prev","none","","hanoi.3","dve2C","tg,bs,hf","0.000","","","","","","57","6","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","none","","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","none","","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","","","","","","","","","","","","","","","","","","",
"statistics","ootime","explore","bfs","none","","anderson.5","dve2C","tg,bs,hf","0.000","124","5941","6691","13.322","14.35","16","30","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","plc.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","5180","","","","","","","","",
"performance","done","","chain","none","","anderson.4","dve2C","tg,bs,hf","0.000","","","","","","13","24","816","816","0.420","29641","2780","480","619","1340","0.43","2894908","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","frogs.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","ootime","explore","bfs-prev","none","","anderson.7","dve2C","tg,bs,hf","0.000","","","","","","19","36","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","frogs.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","chain","none","","lamport_nonatomic.2","dve2C","tg,bs,hf","0.010","","","","","","18","147","1617","1617","0.100","12958","546","497","3210","5744","0.12","2893188","","","","","","","","",
"performance","done","","bfs-prev","none","","leader_election.1","dve2C","tg,bs,hf","0.010","","","","","","91","95","8170","8170","0.610","14252","2373","1290","2650","2043","0.64","2897552","","","","","","","","",
"performance","done","","chain-prev","none","","pgm_protocol.1","dve2C","tg,bs,hf","0.020","","","","","","123","120","19320","19320","2.200","10175","30516","3590","13964","15572","2.24","2901904","","","","","","","","",
"performance","done","","chain","none","","synapse.7","dve2C","tg,bs,hf","0.030","","","","","","28","221","7735","7735","67.200","10198141","122405","2276","16980","75383","67.28","3061508","","","","","","","","",
"performance","ootime","explore","bfs-prev","none","","hanoi.4","dve2C","tg,bs,hf","0.000","","","","","","63","6","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","none","","rether.4","dve2C","tg,bs,hf","0.000","","","","","","43","133","19684","19684","67.300","1157052","185931","1832","8690","22214","67.37","3106408","","","","","","","","",
"statistics","ootime","explore","chain","none","","rether.6","dve2C","tg,bs,hf","0.040","602","136828","150013","39.1952","41.1223","51","161","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","none","","reader_writer.3","dve2C","tg,bs,hf","0.000","","","","","","30","112","672","672","0.040","604498","407","1050","1899","1946","0.04","2893296","","","","","","","","",
"performance","done","","bfs-prev","none","","lamport.5","dve2C","tg,bs,hf","0.000","","","","","","14","56","4312","4312","3.650","1066800","3816","332","994","2236","3.66","2944200","","","","","","","","",
"performance","error","boostperm","chain","none","","elevator_planning.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs-prev","none","","lamport_nonatomic.2","dve2C","tg,bs,hf","0.010","","","","","","18","147","5145","5145","0.150","12958","546","497","3210","5744","0.17","2893196","","","","","","","","",
"performance","done","","bfs","none","","fischer.1","dve2C","tg,bs,hf","0.000","","","","","","8","19","342","342","0.010","634","244","101","232","392","0.02","2892836","","","","","","","","",
"statistics","done","","bfs","none","","lamport.7","dve2C","tg,bs,hf","0.000","165","7491","8327","11.54","12.302","17","70","6930","6930","115.060","38717846","33170","517","1337","4190","115.42","3831512","160303147","221460339","9588841","532","","","132650530",
"statistics","done","","bfs","none","","collision.2","dve2C","tg,bs,hf","0.000","60","2716","3294","9.437","10.462","14","31","2046","2046","0.200","12661","226","206","438","630","0.30","2893028","178413","322364","22091","190","","","180651",
"performance","error","boostperm","chain-prev","none","","resistance.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","error","boostperm","bfs","none","","rushhour.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.05","4940","","","","","","","","",
"performance","done","","bfs-prev","none","","synapse.7","dve2C","tg,bs,hf","0.040","","","","","","28","221","16796","16796","64.780","10198141","122405","2276","16980","75383","64.86","3053428","","","","","","","","",
"statistics","done","","chain","none","","production_cell.2","dve2C","tg,bs,hf","0.000","51","2113","2566","9.3654","9.7517","18","26","988","988","0.100","9003","685","212","468","972","0.19","2893020","90126","129917","11325","204","","","180713",
"performance","done","","bfs-prev","none","","collision.1","dve2C","tg,bs,hf","0.010","","","","","","14","31","1767","1767","0.060","5593","242","187","415","513","0.07","2892920","","","","","","","","",
"performance","error","boostperm","chain","none","","production_cell.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs","none","","krebs.1","dve2C","tg,bs,hf","0.000","","","","","","18","10","660","660","0.260","6027","1633","2520","2795","12025","0.28","2894896","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","telephony.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs-prev","none","","at.3","dve2C","tg,bs,hf","0.000","","","","","","12","57","3990","3990","3.980","1711620","29281","310","1018","2976","4.00","2946252","","","","","","","","",
"performance","done","","bfs","none","","bridge.1","dve2C","tg,bs,hf","0.000","","","","","","10","41","984","984","0.130","3186","1484","798","2898","9948","0.13","2892992","","","","","","","","",
"statistics","done","","chain","none","","fischer.2","dve2C","tg,bs,hf","0.000","60","1534","1751","9.179","9.924","10","25","700","700","0.210","21733","645","138","316","1173","0.31","2892992","235693","353365","26998","133","","","278985",
"performance","error","boostperm","chain","none","","bakery.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","done","","bfs-prev","none","","fischer.5","dve2C","tg,bs,hf","0.000","","","","","","16","43","4644","4644","28.730","101028339","10904","275","700","281665","28.75","3194144","","","","","","","","",
"performance","done","","bfs-prev","none","","leader_filters.3","dve2C","tg,bs,hf","0.000","","","","","","23","40","1800","1800","1.230","91093","15511","991","2241","6942","1.24","2899172","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","elevator_planning.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","telephony.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","88","","","","","","","","",
"performance","ootime","explore","chain-prev","none","","anderson.7","dve2C","tg,bs,hf","0.000","","","","","","19","36","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","none","","exit.2","dve2C","tg,bs,hf","0.000","","","","","","28","89","801","801","0.320","33670","3289","656","5116","21106","0.33","2895124","","","","","","","","",
"performance","done","","chain","none","","cyclic_scheduler.3","dve2C","tg,bs,hf","0.000","","","","","","52","78","2574","2574","0.060","229374","373","358","736","577","0.06","2893328","","","","","","","","",
"performance","error","boostperm","bfs","none","","telephony.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","84","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","plc.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","4940","","","","","","","","",
"performance","done","","chain-prev","none","","adding.2","dve2C","tg,bs,hf","0.000","","","","","","5","6","174","174","28.010","836838","375982","98701","373104","461562","28.15","3105984","","","","","","","","",
"performance","done","","chain","none","","lamport.5","dve2C","tg,bs,hf","0.000","","","","","","14","56","1568","1568","3.160","1066800","3816","332","994","2236","3.18","2913656","","","","","","","","",
"statistics","done","","chain-prev","none","","mcs.3","dve2C","tg,bs,hf","0.000","127","7663","8600","17.202","18.782","17","52","1508","1508","5.120","571459","19764","360","879","1606","5.32","2936096","43838","2097963","2986862","10916522","834372","327","843222","","7120812",
"performance","done","","bfs-prev","none","","schedule_world.1","dve2C","tg,bs,hf","0.000","","","","","","22","26","364","364","0.120","23061","703","253","319","382","0.13","2892968","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","bakery.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs","none","","sorter.4","dve2C","tg,bs,hf","0.000","","","","","","26","58","88624","88624","123.870","13184427","29626","1262","2944","17685","123.89","3843868","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","brp.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","84","","","","","","","","",
"performance","done","","chain","none","","at.3","dve2C","tg,bs,hf","0.000","","","","","","12","57","2223","2223","6.480","1711620","29281","310","1018","2976","6.51","2934284","","","","","","","","",
"performance","done","","bfs-prev","none","","pgm_protocol.4","dve2C","tg,bs,hf","0.020","","","","","","122","120","47880","47880","14.330","39832","58129","4941","17699","36106","14.38","2934712","","","","","","","","",
"performance","error","boostperm","bfs","none","","bakery.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","96","","","","","","","","",
"statistics","done","","bfs","none","","lann.4","dve2C","tg,bs,hf","0.000","75","3837","4731","9.0837","9.6171","30","45","3825","3825","7.580","966855","30615","393","712","1470","7.85","2981136","6272282","12684443","540399","270","","","11230871",
"performance","ootime","explore","bfs","none","","peg_solitaire.3","dve2C","tg,bs,hf","3.580","","","","","","51","240","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","none","","synapse.7","dve2C","tg,bs,hf","0.040","","","","","","28","221","7735","7735","73.720","10198141","122405","2276","16980","75383","73.81","3114800","","","","","","","","",
"performance","done","","bfs","none","","cyclic_scheduler.1","dve2C","tg,bs,hf","0.000","","","","","","32","48","2640","2640","0.070","4606","221","218","450","352","0.07","2893092","","","","","","","","",
"performance","done","","chain-prev","none","","peterson.3","dve2C","tg,bs,hf","0.000","","","","","","15","21","399","399","0.330","170156","1619","284","311","2094","0.34","2894896","","","","","","","","",
"performance","error","boostperm","chain","none","","leader_filters.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","2580","","","","","","","","",
"performance","done","","chain-prev","none","","synapse.1","dve2C","tg,bs,hf","0.010","","","","","","22","131","3406","3406","1.380","46756","13144","1203","9780","26496","1.41","2895292","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","bakery.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","done","","bfs-prev","none","","adding.5","dve2C","tg,bs,hf","0.000","","","","","","5","6","432","432","263.120","5271456","2448213","584637","2414209","2876396","264.00","3832324","","","","","","","","",
"performance","done","","chain","none","","lamport.1","dve2C","tg,bs,hf","0.000","","","","","","11","42","966","966","0.200","29242","642","201","686","1164","0.21","2892880","","","","","","","","",
"performance","done","","bfs-prev","none","","reader_writer.1","dve2C","tg,bs,hf","0.000","","","","","","18","62","744","744","0.000","2666","155","394","696","715","0.00","2893056","","","","","","","","",
"performance","done","","bfs-prev","none","","synapse.5","dve2C","tg,bs,hf","0.020","","","","","","28","167","12024","12024","3.530","83263","20695","1154","14993","41330","3.56","2903700","","","","","","","","",
"performance","error","boostperm","chain","none","","brp.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","chain-prev","none","","needham.3","dve2C","tg,bs,hf","0.000","","","","","","24","111","1221","1221","0.670","206925","7861","643","2227","5688","0.67","2897264","","","","","","","","",
"performance","done","","bfs","none","","fischer.1","dve2C","tg,bs,hf","0.000","","","","","","8","19","342","342","0.010","634","244","101","232","392","0.02","2788336","","","","","","","","",
"performance","ootime","explore","chain","none","","driving_phils.3","dve2C","tg,bs,hf","0.000","","","","","","28","48","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","production_cell.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","chain-prev","none","","sorter.4","dve2C","tg,bs,hf","0.000","","","","","","26","58","19952","19952","21.230","13184427","29626","1262","2944","17685","21.24","3132708","","","","","","","","",
"performance","done","","chain","none","","peg_solitaire.5","dve2C","tg,bs,hf","1.390","","","","","","51","140","980","980","38.580","84191","28006","765152","3920840","11786740","40.43","3381628","","","","","","","","",
"performance","error","boostperm","chain","none","","driving_phils.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","chain-prev","none","","lamport_nonatomic.4","dve2C","tg,bs,hf","0.010","","","","","","24","244","3904","3904","4.890","1257304","4075","869","5791","13740","4.92","2922340","","","","","","","","",
"performance","done","","chain-prev","none","","sokoban.1","dve2C","tg,bs,hf","0.010","","","","","","68","9","774","774","8.180","91453","4406","26077","35263","731641","8.21","3020836","","","","","","","","",
"performance","done","","chain","none","","needham.1","dve2C","tg,bs,hf","0.000","","","","","","14","55","385","385","0.020","497","322","370","1325","2057","0.02","2892956","","","","","","","","",
"performance","done","","bfs-prev","none","","phils.4","dve2C","tg,bs,hf","0.000","","","","","","19","54","1566","1566","0.670","340789","1655","414","489","882","0.67","2905304","","","","","","","","",
"performance","done","","bfs","none","","collision.4","dve2C","tg,bs,hf","0.000","","","","","","22","53","8904","8904","68.060","41465543","6175","492","1063","2038","68.06","3374344","","","","","","","","",
"performance","done","","bfs-prev","none","","sorter.5","dve2C","tg,bs,hf","0.000","","","","","","26","58","15080","15080","2.480","296148","5226","443","1693","6309","2.49","2917644","","","","","","","","",
"performance","done","","chain-prev","none","","lamport_nonatomic.4","dve2C","tg,bs,hf","0.010","","","","","","24","244","3904","3904","4.050","1257304","4075","869","5791","13740","4.06","2920244","","","","","","","","",
"performance","error","boostperm","chain","none","","frogs.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs-prev","none","","brp2.5","dve2C","tg,bs,hf","0.000","","","","","","19","33","9537","9537","5.540","298111","105317","13285","18762","50391","5.58","2940104","","","","","","","","",
"performance","done","","chain-prev","none","","mcs.4","dve2C","tg,bs,hf","0.000","","","","","","17","52","416","416","0.040","16384","675","169","699","868","0.04","2892988","","","","","","","","",
"performance","done","","chain-prev","none","","extinction.1","dve2C","tg,bs,hf","0.000","","","","","","40","79","1817","1817","0.370","8993","4927","680","2079","2444","0.38","2891120","","","","","","","","",
"statistics","done","","chain","none","","adding.2","dve2C","tg,bs,hf","0.000","5","103","144","3.65","3.82","5","6","174","174","133.880","836838","375982","98701","373104","461562","134.23","3259676","66210965","495471721","4271140","184040","","","19887228",
"performance","done","","chain-prev","none","","phils.3","dve2C","tg,bs,hf","0.000","","","","","","12","24","216","216","0.010","729","76","84","129","120","0.01","2851904","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","bakery.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","frogs.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","chain","none","","lup.1","dve2C","tg,bs,hf","0.000","","","","","","6","48","1200","1200","0.040","1404","275","911","6864","34272","0.04","2892924","","","","","","","","",
"performance","done","","bfs","none","","fischer.2","dve2C","tg,bs,hf","0.000","","","","","","10","25","1250","1250","0.280","21733","645","138","316","1173","0.29","2892872","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","firewire_tree.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.35","46544","","","","","","","","",
"performance","done","","bfs","none","","brp2.2","dve2C","tg,bs,hf","0.000","","","","","","19","33","5445","5445","7.100","61464","39087","5272","7118","15964","7.13","2913480","","","","","","","","",
"performance","done","","bfs-prev","none","","gear.2","dve2C","tg,bs,hf","0.000","","","","","","13","50","30150","30150","0.740","16689","16338","1067","4790","16158","0.75","2897092","","","","","","","","",
"statistics","done","","bfs-prev","none","","lamport.3","dve2C","tg,bs,hf","0.000","66","2601","2952","7.8934","8.4548","11","42","2982","2982","0.310","38067","962","210","694","1365","0.41","2895020","3197","263482","88095","595996","89402","195","","","434101",
"performance","done","","bfs-prev","none","","leader_election.3","dve2C","tg,bs,hf","0.010","","","","","","121","114","17214","17214","2.830","101360","5104","2678","4136","3307","2.86","2912236","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","firewire_tree.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.08","17012","","","","","","","","",
"performance","done","","chain","none","","elevator2.3","dve2C","tg,bs,hf","0.000","","","","","","20","23","1334","1334","1.210","7667712","738","920","1045","865649","1.21","2907188","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","production_cell.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","chain","none","","anderson.1","dve2C","tg,bs,hf","0.000","","","","","","7","12","9240","9240","42.150","352664","40119","4173","37561","77144","42.17","3013588","","","","","","","","",
"performance","done","","bfs","none","","brp2.3","dve2C","tg,bs,hf","0.000","","","","","","19","33","5511","5511","3.790","40184","26573","3700","6038","15031","3.80","2905252","","","","","","","","",
"performance","done","","bfs","none","","iprotocol.3","dve2C","tg,bs,hf","0.000","","","","","","29","35","6650","6650","10.650","1013456","15588","1212","3646","10271","10.66","2958516","","","","","","","","",
"performance","error","boostperm","bfs","none","","szymanski.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","done","","chain-prev","none","","collision.1","dve2C","tg,bs,hf","0.000","","","","","","14","31","713","713","0.060","5593","242","187","415","513","0.06","2892904","","","","","","","","",
"performance","ootime","explore","bfs-prev","none","","lann.8","dve2C","tg,bs,hf","0.000","","","","","","25","50","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","none","","lann.5","dve2C","tg,bs,hf","0.000","","","","","","36","54","3888","3888","1.180","993914","2666","293","641","1002","1.19","2909456","","","","","","","","",
