"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","chain","none","","synapse.6","dve2C","tg,bs,hf","0.020","","","","","","28","194","6208","6208","12.970","625175","32661","1521","13919","38857","13.02","2922188","","","","","","","","",
"performance","error","boostperm","chain","none","","bakery.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs-prev","none","","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","15890","15890","112.030","41387484","95004","4223","12799","54651","112.07","3665468","","","","","","","","",
"performance","ootime","explore","bfs","none","","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","none","","mcs.3","dve2C","tg,bs,hf","0.000","","","","","","17","52","3640","3640","8.030","571459","19764","360","879","1606","8.04","2948264","","","","","","","","",
"performance","error","boostperm","chain","none","","driving_phils.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs-prev","none","","collision.4","dve2C","tg,bs,hf","0.000","","","","","","22","53","8904","8904","41.360","41465543","6175","492","1063","2038","41.37","3400948","","","","","","","","",
"performance","done","","chain-prev","none","","exit.1","dve2C","tg,bs,hf","0.000","","","","","","26","45","1170","1170","1.090","3239334","28145","1982","10587","104123","1.10","2899104","","","","","","","","",
"performance","done","","chain","none","","sorter.3","dve2C","tg,bs,hf","0.000","","","","","","26","58","6206","6206","4.760","1288478","17645","436","1537","6972","4.77","2938116","","","","","","","","",
"performance","done","","bfs-prev","none","","production_cell.2","dve2C","tg,bs,hf","0.000","","","","","","18","26","3822","3822","0.160","9003","685","212","468","972","0.16","2892916","","","","","","","","",
"statistics","done","","chain-prev","none","","synapse.7","dve2C","tg,bs,hf","0.180","1385","696148","737376","45.30219","48.07053","28","221","7735","7735","68.310","10198141","122405","2276","16980","75383","68.64","3116976","358593","10751592","13152070","201422769","4784429","2287","4365661","","83741508",
"performance","done","","bfs-prev","none","","pgm_protocol.7","dve2C","tg,bs,hf","0.010","","","","","","124","120","52560","52560","27.470","322585","99880","5309","21071","52214","27.53","3022776","","","","","","","","",
"performance","done","","chain-prev","none","","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","198","198","213.280","3370680","1558043","377747","1538126","1842300","213.91","3830848","","","","","","","","",
"performance","done","","chain","none","","brp2.3","dve2C","tg,bs,hf","0.000","","","","","","19","33","4059","4059","3.850","40184","26573","3700","6038","15031","3.86","2901168","","","","","","","","",
"performance","done","","bfs-prev","none","","phils.2","dve2C","tg,bs,hf","0.000","","","","","","11","30","390","390","0.010","581","148","150","227","290","0.02","2815008","","","","","","","","",
"performance","done","","bfs","none","","lifts.3","dve2C","tg,bs,hf","0.010","","","","","","29","201","26130","26130","6.890","30772","22676","2824","31204","55466","6.93","2908040","","","","","","","","",
"performance","done","","bfs-prev","none","","needham.1","dve2C","tg,bs,hf","0.000","","","","","","14","55","880","880","0.010","497","322","370","1325","2057","0.02","2892968","","","","","","","","",
"performance","done","","bfs-prev","none","","fischer.6","dve2C","tg,bs,hf","0.000","","","","","","18","49","1617","1617","3.120","8321728","22420","306","802","392177","3.13","2925800","","","","","","","","",
"performance","done","","bfs-prev","none","","cyclic_scheduler.1","dve2C","tg,bs,hf","0.000","","","","","","32","48","2640","2640","0.030","4606","221","218","450","352","0.05","2893092","","","","","","","","",
"performance","done","","chain-prev","none","","rether.1","dve2C","tg,bs,hf","0.000","","","","","","19","51","2244","2244","0.150","2458","1408","371","1476","2051","0.15","2892968","","","","","","","","",
"performance","done","","chain","none","","at.3","dve2C","tg,bs,hf","0.000","","","","","","12","57","2223","2223","7.530","1711620","29281","310","1018","2976","7.55","2936092","","","","","","","","",
"performance","done","","bfs-prev","none","","bopdp.1","dve2C","tg,bs,hf","0.000","","","","","","26","79","4977","4977","0.580","12642","2429","338","3351","5285","0.58","2893148","","","","","","","","",
"performance","ootime","explore","chain-prev","none","","collision.6","dve2C","tg,bs,hf","0.000","","","","","","26","64","","","","","","","","","","","","","","","","","","",
"statistics","error","boostperm","chain-prev","none","","telephony.8","dve2C","tg,bs,hf","","466","57905","63314","25.4485","27.6159","","","","","","","","","","","0.03","4144","","","","","","","","",
"performance","done","","chain-prev","none","","peg_solitaire.5","dve2C","tg,bs,hf","1.330","","","","","","51","140","980","980","33.380","84191","28006","765152","3920840","11786740","35.09","3383612","","","","","","","","",
"statistics","ootime","explore","chain-prev","none","","hanoi.3","dve2C","tg,bs,hf","0.000","262","34969","36816","14.516","15.242","57","6","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","none","","bopdp.1","dve2C","tg,bs,hf","0.000","","","","","","26","79","1975","1975","0.290","12642","2429","338","3351","5285","0.29","2893112","","","","","","","","",
"performance","done","","chain-prev","none","","pgm_protocol.4","dve2C","tg,bs,hf","0.020","","","","","","122","120","26520","26520","4.480","39832","58129","4941","17699","36106","4.54","2912152","","","","","","","","",
"performance","done","","chain","none","","collision.4","dve2C","tg,bs,hf","0.000","","","","","","22","53","3127","3127","41.950","41465543","6175","492","1063","2038","41.96","3112180","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","bakery.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","telephony.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs-prev","none","","extinction.1","dve2C","tg,bs,hf","0.010","","","","","","40","79","5767","5767","0.590","8993","4927","680","2079","2444","0.61","2895220","","","","","","","","",
"performance","done","","chain-prev","none","","leader_filters.3","dve2C","tg,bs,hf","0.000","","","","","","23","40","1000","1000","0.910","91093","15511","991","2241","6942","0.92","2899144","","","","","","","","",
"performance","done","","bfs","none","","lamport_nonatomic.5","dve2C","tg,bs,hf","0.040","","","","","","30","365","29200","29200","180.370","95118524","46765","1340","9066","25787","180.43","3676784","","","","","","","","",
"performance","error","boostperm","chain","none","","firewire_tree.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.10","15256","","","","","","","","",
"statistics","done","","bfs-prev","none","","leader_filters.5","dve2C","tg,bs,hf","0.000","215","17469","19560","23.391","25.31","28","50","3300","3300","9.410","1572886","137867","2092","4887","36337","9.72","2942276","148784","4031597","883863","15030684","1636635","1675","","","15247446",
"performance","done","","bfs-prev","none","","cambridge.5","dve2C","tg,bs,hf","0.010","","","","","","32","58","10382","10382","12.610","698912","17522","29204","41150","371452","12.64","2975596","","","","","","","","",
"performance","done","","bfs","none","","adding.2","dve2C","tg,bs,hf","0.000","","","","","","5","6","360","360","182.440","836838","375982","98701","373104","461562","182.59","3282096","","","","","","","","",
"performance","done","","chain-prev","none","","peterson.6","dve2C","tg,bs,hf","0.000","","","","","","20","28","896","896","120.010","174495861","64009","865","536","30916","120.04","3840060","","","","","","","","",
"statistics","done","","bfs","none","","fischer.1","dve2C","tg,bs,hf","0.010","40","906","1040","6.984","7.354","8","19","342","342","0.010","634","244","101","232","392","0.11","2892964","10671","18934","2162","100","","","19471",
"performance","done","","bfs-prev","none","","peg_solitaire.4","dve2C","tg,bs,hf","0.060","","","","","","27","60","1380","1380","198.270","873326","123054","3350225","7383240","52399560","200.03","3837932","","","","","","","","",
"performance","done","","bfs","none","","lann.6","dve2C","tg,bs,hf","0.010","","","","","","20","40","8080","8080","150.270","144151628","98221","315","490","1082","150.31","3835104","","","","","","","","",
"performance","done","","bfs","none","","cyclic_scheduler.2","dve2C","tg,bs,hf","0.000","","","","","","20","30","1530","1530","0.050","3302","179","149","285","267","0.06","2892960","","","","","","","","",
"performance","done","","bfs-prev","none","","lamport.8","dve2C","tg,bs,hf","0.000","","","","","","17","70","11340","11340","155.230","62669317","51915","558","1297","5245","155.26","3843336","","","","","","","","",
"performance","done","","chain-prev","none","","bridge.1","dve2C","tg,bs,hf","0.000","","","","","","10","41","533","533","0.080","3186","1484","798","2898","9948","0.08","2893000","","","","","","","","",
"performance","done","","bfs-prev","none","","mcs.6","dve2C","tg,bs,hf","0.000","","","","","","21","65","2015","2015","0.440","332544","3170","232","921","1260","0.44","2899208","","","","","","","","",
"performance","done","","chain-prev","none","","synapse.2","dve2C","tg,bs,hf","0.010","","","","","","22","149","3129","3129","1.370","61048","9284","1420","8544","28636","1.40","2897356","","","","","","","","",
"performance","done","","bfs","none","","elevator.3","dve2C","tg,bs,hf","0.000","","","","","","38","52","4316","4316","32.230","416935","156712","1605","3030","15660","32.28","3026128","","","","","","","","",
"performance","done","","bfs","none","","krebs.4","dve2C","tg,bs,hf","0.000","","","","","","20","22","2266","2266","17.930","1047405","43172","23783","26082","313471","17.96","3044500","","","","","","","","",
"performance","error","boostperm","chain","none","","telephony.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs","none","","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","15890","15890","232.480","41387484","95004","4223","12799","54651","232.52","3837968","","","","","","","","",
"performance","done","","bfs-prev","none","","sorter.4","dve2C","tg,bs,hf","0.000","","","","","","26","58","88624","88624","43.750","13184427","29626","1262","2944","17685","43.76","3475300","","","","","","","","",
"performance","done","","bfs-prev","none","","bopdp.2","dve2C","tg,bs,hf","0.000","","","","","","24","79","10112","10112","0.380","25685","1040","332","3479","5294","0.39","2895152","","","","","","","","",
"performance","error","boostperm","chain","none","","telephony.6","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","ootime","explore","chain","none","","peg_solitaire.3","dve2C","tg,bs,hf","4.000","","","","","","51","240","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","firewire_link.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.06","6240","","","","","","","","",
"performance","done","","bfs","none","","fischer.7","dve2C","tg,bs,hf","0.000","","","","","","18","49","5390","5390","74.440","386297005","15741","306","782","392553","74.45","3581132","","","","","","","","",
"performance","done","","bfs","none","","peterson.6","dve2C","tg,bs,hf","0.000","","","","","","20","28","2268","2268","41.330","174495861","64009","865","536","30916","41.36","3392348","","","","","","","","",
"performance","error","boostperm","chain","none","","firewire_link.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.12","9072","","","","","","","","",
"performance","done","","chain-prev","none","","lann.3","dve2C","tg,bs,hf","0.000","","","","","","20","40","2040","2040","1.820","1832139","1819","187","368","638","1.84","2913464","","","","","","","","",
"performance","done","","chain-prev","none","","bopdp.2","dve2C","tg,bs,hf","0.000","","","","","","24","79","4187","4187","0.310","25685","1040","332","3479","5294","0.33","2895140","","","","","","","","",
"performance","done","","chain","none","","bridge.3","dve2C","tg,bs,hf","0.010","","","","","","14","81","1863","1863","14.860","838864","54244","5338","15241","204567","14.89","2952384","","","","","","","","",
"performance","done","","chain","none","","synapse.1","dve2C","tg,bs,hf","0.000","","","","","","22","131","3406","3406","1.860","46756","13144","1203","9780","26496","1.89","2895272","","","","","","","","",
"performance","done","","chain","none","","firewire_link.5","dve2C","tg,bs,hf","0.110","","","","","","50","610","54290","54290","99.830","18553032","96869","2754","176472","458211","100.01","3035188","","","","","","","","",
"performance","done","","bfs","none","","blocks.2","dve2C","tg,bs,hf","0.000","","","","","","14","20","380","380","0.430","7057","2716","734","1052","3477","0.44","2892952","","","","","","","","",
"performance","done","","chain","none","","bopdp.1","dve2C","tg,bs,hf","0.000","","","","","","26","79","1975","1975","0.340","12642","2429","338","3351","5285","0.34","2893088","","","","","","","","",
"performance","done","","bfs","none","","pgm_protocol.4","dve2C","tg,bs,hf","0.020","","","","","","122","120","47880","47880","23.100","39832","58129","4941","17699","36106","23.15","2951032","","","","","","","","",
"performance","done","","chain","none","","firewire_link.2","dve2C","tg,bs,hf","0.060","","","","","","35","412","19776","19776","2.600","55887","5113","1551","80141","122268","2.67","2899484","","","","","","","","",
"performance","done","","bfs-prev","none","","msmie.4","dve2C","tg,bs,hf","0.020","","","","","","28","450","28350","28350","1.740","7125441","2737","2836","14657","45470","1.78","2903632","","","","","","","","",
"performance","done","","bfs","none","","protocols.3","dve2C","tg,bs,hf","0.000","","","","","","16","18","612","612","0.020","2817","262","171","165","336","0.02","2892856","","","","","","","","",
"performance","done","","bfs-prev","none","","lamport_nonatomic.4","dve2C","tg,bs,hf","0.020","","","","","","24","244","13908","13908","4.410","1257304","4075","869","5791","13740","4.45","2927212","","","","","","","","",
"performance","done","","bfs","none","","peterson.7","dve2C","tg,bs,hf","0.000","","","","","","25","35","6195","6195","243.390","142471098","64853","5334","5534","159088","243.42","3839140","","","","","","","","",
"performance","done","","chain","none","","iprotocol.7","dve2C","tg,bs,hf","0.000","","","","","","41","35","5600","5600","220.440","59794192","308689","7113","24078","121751","220.56","3591396","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","elevator_planning.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
