"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","ootime","explore","chain","sat-like","5","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.260","900","6844","","","","","","","","","1743.56","3985908","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","5","true","true","PolyORB-LF-S02-J04-T10-unfolded.pnml","752","1572","7262","0","tg,bs,hf","1.180","752","1572","","","","","","","","","1797.24","3622420","","","","","","",
"performance","done","","chain","sat-like","5","true","true","Philosophers-100.pnml","500","500","1600","0","tg,bs,hf","0.020","500","500","1979","1979","0.370","5.15377520732011e+47","3178","3200","4402","2800","0.52","2897844",
"performance","done","","chain-prev","sat-like","5","true","true","soli1.pnml","66","76","456","0","tg,bs,hf","0.010","66","76","116898","116898","1449.670","187636299","4066413","912","912","608","1451.24","3940144",
"performance","oomem","mddtable","bfs","sat-like","5","true","true","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.220","168","592","","","","","","","","","366.75","3946612","","","","","","",
"performance","done","","chain","sat-like","5","true","true","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","78349","78349","10.140","11329291100161","16311","718","502","1556","10.17","2903812",
"performance","done","","chain","sat-like","5","true","true","IBM319.pnml","253","178","526","0","tg,bs,hf","0.000","253","178","1298","1298","0.120","2482","1171","1008","1222","547","0.14","2893148",
"performance","oomem","mddtable","chain","sat-like","5","true","true","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.650","168","592","","","","","","","","","411.00","3946600","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","5","true","true","database10UNFOLD.pnml","830","800","3800","0","tg,bs,hf","0.500","830","800","","","","","","","","","1788.95","3484420","","","","","","",
"performance","ootime","explore","chain","sat-like","5","true","true","dekker-100.pnml","500","10200","80200","0","tg,bs,hf","118.650","500","10200","","","","","","","","","1794.20","3116424","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","5","true","true","2D8_gradient_10x10_150.pnml","100","684","1368","0","tg,bs,hf","0.030","100","684","","","","","","","","","1790.33","3945004","","","","","","",
"performance","done","","bfs-prev","sat-like","5","true","true","FMS-200.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","12474","12474","1046.590","1.95363541536061e+25","1719227","333055","329685","5721713","1047.09","3941436",
"performance","ootime","explore","bfs","sat-like","5","true","true","2D8_gradient_5x5_200.pnml","25","144","288","0","tg,bs,hf","0.000","25","144","","","","","","","","","1796.36","3927608","","","","","","",
"statistics","ootime","explore","bfs","sat-like","5","true","true","2D8_gradient_5x5_250.pnml","25","144","288","0","tg,bs,hf","0.020","25","144","","","","","","","","","1794.85","3831464","","","","","","",
"performance","oomem","mddtable","chain","sat-like","5","true","true","database20UNFOLD.pnml","3260","3200","23200","0","tg,bs,hf","11.810","3260","3200","","","","","","","","","1531.21","3990840","","","","","","",
"performance","ootime","explore","chain","sat-like","5","true","true","BridgeAndVehicles-V20-P20-N10-unfolded.pnml","68","548","4070","0","tg,bs,hf","0.370","68","548","","","","","","","","","1760.98","3090780","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","5","true","true","shared_memory-pt-50.pnml","2651","5050","20000","0","tg,bs,hf","17.720","2651","5050","","","","","","","","","1795.45","3304952","","","","","","",
"statistics","error","boostperm","bfs-prev","sat-like","5","true","true","planning.pnml","126","128","652","0","tg,bs,hf","","","","","","","","","","","","0.06","92","","","","","","",
"performance","done","","chain","sat-like","5","true","true","raft_03.pnml","53","98","328","53","tg,bs,hf","0.000","53","98","4672","4672","0.210","33819621","1270","434","320","320","0.23","2889044",
"performance","error","boostperm","bfs-prev","sat-like","5","true","true","railroad-050-pt.pnml","518","2756","16378","0","tg,bs,hf","","","","","","","","","","","","5.29","35040","","","","","","",
"performance","done","","chain-prev","sat-like","5","true","true","FMS-100.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","3387","3387","51.590","2.70305727248432e+21","264627","86555","84885","765863","51.69","3316716",
"performance","ootime","explore","chain","sat-like","5","true","true","CircularTrain-768.pnml","1536","768","3072","0","tg,bs,hf","0.100","1536","768","","","","","","","","","1795.00","3692896","","","","","","",
"performance","done","","bfs","sat-like","5","true","true","angiogenesis-05.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","2082","2082","1.630","42734935","11992","2999","2744","4011","1.64","2892072",
"performance","done","","bfs","sat-like","5","true","true","FMS-2.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","198","198","0.010","3444","123","205","203","140","0.02","2532292",
"performance","ootime","explore","bfs","sat-like","5","true","true","Peterson-4.pnml","480","690","2120","0","tg,bs,hf","0.090","480","690","","","","","","","","","1797.37","3139804","","","","","","",
"performance","done","","bfs-prev","sat-like","5","true","true","ring.pnml","139","87","410","0","tg,bs,hf","0.010","139","87","9039","9039","2.970","902651904000","4834","772","1081","751","2.99","2907744",
"performance","oomem","cache","bfs","sat-like","5","true","true","shared_memory-pt-100.pnml","10301","20100","80000","0","tg,bs,hf","348.890","10301","20100","","","","","","","","","354.08","1083172","","","","","","",
