"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","max-tokens","time","memory","bandwidth","profile","span","average-wavefront","RMS-wavefront","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","echo-d2r9.pnml","735","570","3220","0","tg,bs,hf","0.100","735","570","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","5","true","false","IBM703.pnml","262","284","572","0","tg,bs,hf","0.010","262","284","2612","2612","0.310","8370","1192","1144","1432","860","1","0.36","2895720","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","soli0_counter_square5.pnml","51","84","540","0","tg,bs,hf","0.000","51","84","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","5","true","false","rwmutex-r10w500.pnml","1030","1020","12060","0","tg,bs,hf","3.820","1030","1020","58770","58770","77.070","1524","229089","24120","34068","1025060","1","81.74","2934484","","","","","",
"performance","done","","chain","sat-like","5","true","false","HouseConstruction-020.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","712","712","23.750","13665907559010","428701","12680","10241","98098","20","23.87","3100028","","","","","",
"performance","oomem","alloc","bfs-prev","sat-like","5","true","false","Philosophers-5000.pnml","25000","25000","80000","0","tg,bs,hf","39.320","25000","25000","","","","","","","","","","43.54","3412384","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","5","true","false","QCertifProtocol_32-unfold.pnml","3806","506","8173","0","tg,bs,hf","1.530","3806","506","6","6","0.130","2","3874","70","110","6","19","2.66","2932556","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","lamport_fmea-7.pnml","264","536","2352","0","tg,bs,hf","0.100","264","536","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-like","5","true","false","closed_system1.pnml","231","202","846","0","tg,bs,hf","0.010","231","202","5200","5200","0.950","25632","4349","1158","1838","955","1","0.99","2897668","","","","","",
"performance","oomem","regroup","bfs-prev","sat-like","5","true","false","Philosophers-10000.pnml","50000","50000","160000","0","tg,bs,hf","","","","","","","","","","","","","142.75","4308376","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.030","900","6844","","","","","","","","","","","","","","","","","","","","","","",
"statistics","ootime","noresponse","bfs-prev","sat-like","5","true","false","Peterson-4.pnml","480","690","2120","0","tg,bs,hf","0.580","480","690","","","","","","","","","","","","2743","1148012","1260382","126.4887","132.9744","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","Kanban-500.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","cs_repetitions-4-unfolded.pnml","117","176","624","0","tg,bs,hf","0.020","117","176","","","","","","","","","","","","","","","","","","","","","","",
